tag_id,tag_name,tag_type,pi_name,ui_display_name,data_type,uom_id,uom_name,uom_description,model_id,model_tag_id,formula_expression
4012,act_EG2_EO_Reactor_Selectivity,inferred,NULL,act_EG2_EO_Reactor_Selectivity,real,27,-,28,1,5176,[EG2_EO_Reactor_Selectivity]
4009,act_EG2_EOE,inferred,NULL,act_EG2_EOE,real,27,-,28,1,5173,[EG2_EOE]
4097,act_EG2_RC_TEMP_1,inferred,NULL,act_EG2_RC_TEMP_1,real,2,°C,2,1,5261,"if([EOEG2_Plant_Status]==0,0,[EG2_RC_TEMP_1])"
4013,act_EG3_EO_Reactor_Selectivity,inferred,NULL,act_EG3_EO_Reactor_Selectivity,real,27,-,28,1,5177,[EG3_EO_Reactor_Selectivity]
4010,act_EG3_EOE,inferred,NULL,act_EG3_EOE,real,27,-,28,1,5174,[EG3_EOE]
4045,act_EOEG_1_LPS_Demand,inferred,NULL,act_EOEG_1_LPS_Demand,real,27,-,28,1,5209,[EOEG_1_LPS_Demand]
4044,act_EOEG_1_MPS_Demand,inferred,NULL,act_EOEG_1_MPS_Demand,real,27,-,28,1,5208,[EOEG_1_MPS_Demand]
4047,act_EOEG_2_LPS_Demand,inferred,NULL,act_EOEG_2_LPS_Demand,real,27,-,28,1,5211,[EOEG_2_LPS_Demand]
4046,act_EOEG_2_MPS_Demand,inferred,NULL,act_EOEG_2_MPS_Demand,real,27,-,28,1,5210,[EOEG_2_MPS_Demand]
4049,act_EOEG_3_LPS_Demand,inferred,NULL,act_EOEG_3_LPS_Demand,real,27,-,28,1,5213,[EOEG_3_LPS_Demand]
4048,act_EOEG_3_MPS_Demand,inferred,NULL,act_EOEG_3_MPS_Demand,real,27,-,28,1,5212,[EOEG_3_MPS_Demand]
4051,act_ETH_HPS_Demand,inferred,NULL,act_ETH_HPS_Demand,real,27,-,28,1,5215,[ETH_HPS_Demand]
4050,act_ETH_LPS_Demand,inferred,NULL,act_ETH_LPS_Demand,real,27,-,28,1,5214,[ETH_LPS_Demand]
4024,act_HP_Steam_Consumption,inferred,NULL,act_HP_Steam_Consumption,real,27,-,28,1,5188,[HP_Steam_Consumption]
4029,act_HP_Steam_Imbalance,inferred,NULL,act_HP_Steam_Imbalance,real,27,-,28,1,5193,[HP_Steam_Imbalance]
4020,act_LP_Steam_Consumption,inferred,NULL,act_LP_Steam_Consumption,real,27,-,28,1,5184,[LP_Steam_Consumption]
4026,act_LP_Steam_Imbalance,inferred,NULL,act_LP_Steam_Imbalance,real,27,-,28,1,5190,[LP_Steam_Imbalance]
4019,act_MP_Steam_Consumption,inferred,NULL,act_MP_Steam_Consumption,real,27,-,28,1,5183,[MP_Steam_Consumption]
4025,act_MP_Steam_Imbalance,inferred,NULL,act_MP_Steam_Imbalance,real,27,-,28,1,5189,[MP_Steam_Imbalance]
2883,act_running,inferred,NULL,act running,real,5,%,5,1,4042,1
4033,act_Sea_water_makeup_CW,inferred,NULL,act_Sea_water_makeup_CW,real,27,-,28,1,5197,[Sea_water_makeup_CW]
3993,act_shaft_loss,inferred,NULL,dummy_shaft_loss,real,27,-,28,1,5157,(([HP_Steam_to_MP_Steam_Letdown_flow]*41.25)+([UO_All_MP_to_LP_letdown]*56.1)+(([VHP_to_HP_Let_Down_Valve_PX7024A_HP_Steam_flow_out_ETH]+[VHP_to_HP_Let_Down_Valve_PX7024B_HP_Steam_flow_out_ETH])*49.88)+(([HP_to_LP_Let_Down_Valve_PC7026_LP_Steam_flow_out_ETH]+[HP_to_LP_Let_Down_Valve_HC7262_LP_Steam_flow_out_ETH])*99.11)+([HP_to_MP_Let_Down_Valve_PC9209_EG1_HP_Steam_Flow_in]+[HP_to_MP_Let_Down_Valve_PC9209_EG2_HP_Steam_Flow_in]+[HP_to_MP_Let_Down_Valve_PC9207_EG3_HP_Steam_Flow_in])*41.25+[MP_to_LP_Letdown_Valve_Flowout_PV9206B_EG3]*18.38+[LP_to_LLP_Let_Down_Valve_PC7029_LP_Steam_Flow_in_ETH]*36.36+[Purge_Steam_to_Furnace_valve_PDC1154_Steam_Flow_ETH]*18.38+[Purge_Steam_to_Furnace_valve_PDC1155_Steam_Flow_ETH]*18.38)/1000
4021,act_Total_BFW_Consumption,inferred,NULL,act_Total_BFW_Consumption,real,27,-,28,1,5185,[Total_BFW_Consumption]
4032,act_Total_CW_Demand_including_EG3,inferred,NULL,act_Total_CW_Demand_including_EG3,real,27,-,28,1,5196,[Total_CW_Demand]+[CW_Demand_Header_2]
4500,act_total_cw_flow,inferred,NULL,act_total_cw_flow,real,3,MT/ HR,3,1,5663,[total_cw_flow]
4007,act_Total_Ethylene_Load,inferred,NULL,act_Total_Ethylene_Load,real,27,-,28,1,5171,"if([ETH_Plant_Status]==0,0,[Total_Ethylene_Load])"
4022,act_Total_Fuel_Consumption,inferred,NULL,act_Total_Fuel_Consumption,real,27,-,28,1,5186,[Total_Fuel_Consumption]
4030,act_Total_Fuel_Imbalance,inferred,NULL,act_Total_Fuel_Imbalance,real,27,-,28,1,5194,([Fuel_generated]+([NATURAL_GAS_Import_CTM_raw]/1000))-[Total_Fuel_Consumption]
4442,Air_Comp_Flag,inferred,NULL,Air_Comp_Flag,real,18,KW,19,1,5606,"if([Air_Compressor_Drives_Running]-if(([Total_Air_Demand_Adjusted]+ [Buffer_in_Air_Flow_Margin])>32,3,2)==0,1,0)"
161,Air_compressor_A_Discharge_flow,inferred,NULL,Air compressor A Discharge flow,real,3,MT/ HR,3,1,161,([Air_compressor_A_Discharge_flow_raw]*[Air_density]/1000)*[Air_Compressor_Turbine_A_Status]
3082,Air_compressor_A_Discharge_flow_KEV,inferred,NULL,Air compressor A Discharge flow,real,3,MT/ HR,3,1,4241,[Air_compressor_A_Discharge_flow]*[Air_Compressor_Turbine_A_Status]
205,Air_Compressor_A_Rated_Flow,inferred,NULL,Air Compressor A Rated Flow,real,3,MT/ HR,3,1,205,15.435
