derived_equation_id,model_tag_id,formula_expression,active
249,2633,[BFW_B_Turb_Status]*([BFW_B_Turb_Steam_Regression]-((-0.0233*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_B_Turb_Status])))**2 + 26.665*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_B_Turb_Status]))) + 10505)/1000)),1
250,2634,[BFW_C_Turb_Status]*([BFW_C_Turb_Steam_Regression]-((-0.0233*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_C_Turb_Status])))**2 + 26.665*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_C_Turb_Status]))) + 10505)/1000)),1
251,2635,[BFW_D_Motor_Status]*([BFW_D_Motor_Power_Regression]-((-0.0016*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_D_Motor_Status])))**2+ 1.8045*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_D_Motor_Status]))) + 401.61)/1000)/0.95),1
252,2636,[BFW_E_Turb_Status]*([BFW_E_Turb_Steam_Regression]-((-0.0233*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_E_Turb_Status])))**2 + 26.665*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_E_Turb_Status]))) + 10505)/1000)),1
253,2637,[BFW_F_Motor_Status]*([BFW_F_Motor_Power_Regression]-((-0.0016*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_F_Motor_Status])))**2+ 1.8045*([BFW_Flow_Consumption]/([BFW_Drives_Running]+(1-[BFW_F_Motor_Status]))) + 401.61)/1000)/0.95),1
254,2623,[DMW_Turbine_A_Status]*([DMW_Turbine_A_Steam_Regression]-((-0.0023*([Total_DMW_Demand]/([DMW_Drives_Running]+(1-[DMW_Turbine_A_Status])))**2 + 5.4956*([Total_DMW_Demand]/([DMW_Drives_Running]+(1-[DMW_Turbine_A_Status]))) + 3330.4)/1000)/0.8),1
255,2625,[DMW_Turbine_C_Status]*([DMW_Turbine_C_Steam_Regression]-((-0.0023*([Total_DMW_Demand]/([DMW_Drives_Running]+(1-[DMW_Turbine_C_Status])))**2 + 5.4956*([Total_DMW_Demand]/([DMW_Drives_Running]+(1-[DMW_Turbine_C_Status]))) + 3330.4)/1000)/0.8),1
256,2624,[DMW_Pump_Motor_B_Status]*([DMW_Motor_B_Power_Regression]-(-8E-05*([Total_DMW_Demand]/([DMW_Drives_Running]+(1-[DMW_Pump_Motor_B_Status])))**2 + 0.1835*([Total_DMW_Demand]/([DMW_Drives_Running]+(1-[DMW_Pump_Motor_B_Status]))) + 36.904)/1000),1
257,2790,([Air_compressor_A_Discharge_flow]- [AC_A_Flow_To_Header])*[Air_Compressor_Turbine_A_Status],0
258,2791,([Air_compressor_B_Discharge_flow] - [AC_B_Flow_To_Header])*[Air_Compressor_Motor_B_Status],0
259,2792,([Air_compressor_C_Discharge_flow] - [AC_C_Flow_To_Header])*[Air_Compressor_Motor_C_Status],0
260,2793,([Air_compressor_D_Discharge_flow]- [AC_D_Flow_To_Header])*[Air_Compressor_Turbine_D_Status],0
261,353,([AC_A_Flow_To_Header] * [Air_Compressor_Turbine_A_Status] + [AC_B_Flow_To_Header] * [Air_Compressor_Motor_B_Status] + [AC_C_Flow_To_Header] * [Air_Compressor_Motor_C_Status] + [AC_D_Flow_To_Header] * [Air_Compressor_Turbine_D_Status]),0
262,3190,[Air_compressor_A_Discharge_flow]*[Air_Compressor_Turbine_A_Status]+[Air_compressor_B_Discharge_flow]*[Air_Compressor_Motor_B_Status]+[Air_compressor_C_Discharge_flow]*[Air_Compressor_Motor_C_Status]+[Air_compressor_D_Discharge_flow]*[Air_Compressor_Turbine_D_Status],1
263,52,((8E-06*[BLR_1_HPS_Gen]**2 - 0.0017 *[BLR_1_HPS_Gen] +3.0167)*(1-[Spec_En_Cons_BLR_1_dev]))*[BLR_1_Status]+(1-[BLR_1_Status])*5,1
264,53,((8E-06*[BLR_2_HPS_Gen]**2 - 0.0017 *[BLR_2_HPS_Gen] +3.0167)*(1-[Spec_En_Cons_BLR_2_dev]))*[BLR_2_Status]+(1-[BLR_2_Status])*5,1
265,54,((8E-06*[BLR_3_HPS_Gen]**2 - 0.0017 *[BLR_3_HPS_Gen] +3.0167)*(1-[Spec_En_Cons_BLR_3_dev]))*[BLR_3_Status]+(1-[BLR_3_Status])*5,1
266,55,((8E-06*[BLR_4_HPS_Gen]**2 - 0.0017 *[BLR_4_HPS_Gen] +3.0167)*(1-[Spec_En_Cons_BLR_4_dev]))*[BLR_4_Status]+(1-[BLR_4_Status])*5,1
267,56,((8E-06*[BLR_5_HPS_Gen]**2 - 0.0017 *[BLR_5_HPS_Gen] +3.0167)*(1-[Spec_En_Cons_BLR_5_dev]))*[BLR_5_Status]+(1-[BLR_5_Status])*5,1
268,784,[Fuel_BLR_1]*[BLR_1_Status],1
269,785,[Fuel_BLR_2]*[BLR_2_Status],1
270,786,[Fuel_BLR_3]*[BLR_3_Status],1
271,787,[Fuel_BLR_4]*[BLR_4_Status],1
272,788,[Fuel_BLR_5]*[BLR_5_Status],1
273,3191,[total_air_generated]-[Total_Air_Demand],1
275,2430,[MP_to_LP_Letdown_LPS_Flow_Out_PV013A_UO] + [MP_to_LP_Letdown_LPS_Flow_Out_PV013B_UO] + [MP_to_LP_Letdown_LPS_Flow_Out_PV31_UO] + [MP_to_LP_Letdown_LPS_Flow_Out_PV32_UO],1
276,2616,[Air_Compressor_Turbine_A_Status]*([Air_Compressor_Turbine_A_Steam_Regression]-((14.691*([Air_compressor_A_Discharge_flow])*89.55 + 5079)/0.9/1000))/((14.691*([Air_compressor_A_Discharge_flow]+(1-[Air_Compressor_Turbine_A_Status]))*89.55 + 5079)/0.9/1000),1
277,2617,[Air_Compressor_Turbine_D_Status]*([Air_Compressor_Turbine_D_Steam_Regression]-((13.34*([Air_compressor_D_Discharge_flow])*92.96 + 4614.5)/0.9/1000))/((13.34*([Air_compressor_D_Discharge_flow]+(1-[Air_Compressor_Turbine_D_Status]))*92.96 + 4614.5)/0.9/1000),1
278,2618,[Air_Compressor_Motor_C_Status]*([Air_Compressor_Motor_C_Power_Regression]-((0.0896*([Air_compressor_C_Discharge_flow]))/0.9))/((0.0896*([Air_compressor_C_Discharge_flow]+(1-[Air_Compressor_Motor_C_Status])))/0.9),1
279,2619,[Air_Compressor_Motor_B_Status]*([Air_Compressor_Motor_B_Power_Regression]-((0.0930*([Air_compressor_B_Discharge_flow]))/0.9))/((0.0930*([Air_compressor_B_Discharge_flow]+(1-[Air_Compressor_Motor_B_Status])))/0.9),1
280,2778,Test+1,0
281,161,[Air_Compressor_Turbine_A_Status]*[Air_compressor_A_Discharge_flow],0
282,162,[Air_Compressor_Motor_B_Status]*[Air_compressor_B_Discharge_flow],0
283,163,[Air_Compressor_Motor_C_Status]*[Air_compressor_C_Discharge_flow],0
284,164,[Air_Compressor_Turbine_D_Status]*[Air_compressor_D_Discharge_flow],0
285,1137,[BFW_B_Turb_Status]+[BFW_C_Turb_Status]+[BFW_E_Turb_Status],1
286,255,[FDF_A_Motor_Status]*[BLR_1_Status]*(0.0067*[BLR_1_HPS_Gen]**2 + 0.225*[BLR_1_HPS_Gen] + 217.82)/1000,1
287,256,[FDF_B_Motor_Status]*[BLR_2_Status]*(0.0067*[BLR_2_HPS_Gen]**2 + 0.225*[BLR_2_HPS_Gen] + 217.82)/1000,1
288,5075,"m.min2(m.min2(m.min2(m.min2(([BLR_1_HPS_Gen]+(1-[BLR_1_Status])*150),([BLR_2_HPS_Gen]+(1-[BLR_2_Status])*150)),([BLR_3_HPS_Gen]+(1-[BLR_3_Status])*150)),([BLR_4_HPS_Gen]+(1-[BLR_4_Status])*150)),([BLR_5_HPS_Gen]+(1-[BLR_5_Status])*150))",1
289,5076,"m.max2(m.max2(m.max2(m.max2([BLR_1_HPS_Gen],[BLR_2_HPS_Gen]),[BLR_3_HPS_Gen]),[BLR_4_HPS_Gen]),[BLR_5_HPS_Gen])",1
290,330,(1-[Whatif_running])*[MP_Steam_Imbalance]+[Whatif_running]*([act_MP_Steam_Imbalance]*[MP_Steam_Consumption]/[act_MP_Steam_Consumption]),1
291,333,(1-[Whatif_running])*[LP_Steam_Imbalance] + [Whatif_running]*([act_LP_Steam_Imbalance]*[LP_Steam_Consumption]/[act_LP_Steam_Consumption]),1
292,2481,(1-[Whatif_running])*[DMW_Imbalance] + [Whatif_running]*([act_DMW_Imbalance]*[DMW_Makeup]/[act_DMW_Makeup]),1
293,327,(1-[Whatif_running])*[HP_Steam_Imbalance] + [Whatif_running]*([act_HP_Steam_Imbalance]*[HP_Steam_Consumption]/[act_HP_Steam_Consumption]),1
294,3329,[Whatif_running]*0.055*[Total_BFW_Consumption] + (1-[Whatif_running])*[Deaerator_LPS],1
295,5216,"m.max2(103-[BFW_Flow_Consumption],0)",0
296,1139,[VHP_BFW_B_Turb_Status]+[VHP_BFW_C_Turb_Status],1
297,1140,[CW_Motor_C_Status]+[CW_Motor_D_Status]+[CW_Motor_E_Status]+[CW_Motor_F_Status],1
298,1141,[CW_Turbine_A_Status]+[CW_Turbine_B_Status]+[CW_Turbine_G_Status],1
299,1142,[Air_Compressor_Motor_B_Status]+[Air_Compressor_Motor_C_Status],1
300,1143,[Air_Compressor_Turbine_A_Status]+[Air_Compressor_Turbine_D_Status],1
301,1145,[DMW_Turbine_A_Status]+[DMW_Turbine_C_Status],1
302,3581,Test Formula 2,0
303,3,test,0
