seu_suggestions_mapping_id,seu_id,operation_decision_support_id,solution_source,active,expression
126,121,5293,external,1,"if([Specific_energy_consumption_in_C2R_actual]>[Specific_energy_consumption_in_C2R_optimum],1,0)"
127,121,6050,external,1,"if([Specific_energy_consumption_in_C2R_actual]>[Specific_energy_consumption_in_C2R_optimum],1,0)"
128,121,6626,external,1,"if([Specific_energy_consumption_in_C2R_actual]>[Specific_energy_consumption_in_C2R_optimum],1,0)"
129,81,8192,external,1,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
130,81,8193,external,1,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
131,81,8194,external,1,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
132,81,8195,external,1,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
133,81,8196,external,1,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
134,81,8327,external,1,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
135,81,8329,external,1,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
136,81,8331,external,1,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
137,81,8590,external,1,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
138,81,8592,external,1,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
139,81,8594,external,1,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
140,81,9611,external,0,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
141,81,9613,external,0,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
142,81,9615,external,0,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
143,81,9663,external,1,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
144,81,9665,external,1,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
145,81,9667,external,1,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
146,81,9669,external,1,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
147,81,9671,external,0,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
148,81,9673,external,0,"if([Boiler_peeo_mesg_taking_actual]==1,1,0)"
149,72,4379,external,1,1
150,72,4382,external,1,1
151,72,4385,external,1,1
152,72,8118,external,0,1
153,72,8121,external,0,1
154,72,8124,external,0,1
155,72,8149,external,0,1
156,72,8152,external,0,1
157,72,8155,external,0,1
158,72,8180,external,0,1
159,72,8183,external,0,1
160,72,8186,external,0,1
161,72,8211,external,0,1
162,72,8214,external,0,1
163,72,8217,external,0,1
164,72,8242,external,0,1
165,72,8245,external,0,1
166,72,8248,external,0,1
167,72,8273,external,0,1
168,72,8276,external,0,1
169,72,8279,external,0,1
170,72,8304,external,0,1
171,72,8307,external,0,1
172,72,8310,external,0,1
173,72,8335,external,0,1
174,72,8338,external,0,1
175,72,8341,external,0,1
176,73,8118,external,1,1
177,73,8121,external,1,1
178,73,8124,external,1,1
179,74,8149,external,1,1
180,74,8152,external,1,1
181,74,8155,external,1,1
182,75,8180,external,1,1
183,75,8183,external,1,1
184,75,8186,external,1,1
185,76,8211,external,1,1
186,76,8214,external,1,1
187,76,8217,external,1,1
188,77,8242,external,1,1
189,77,8245,external,1,1
190,77,8248,external,1,1
191,78,8273,external,1,1
192,78,8276,external,1,1
193,78,8279,external,1,1
194,79,8304,external,1,1
195,79,8307,external,1,1
196,79,8310,external,1,1
197,80,8335,external,1,1
198,80,8338,external,1,1
199,80,8341,external,1,1
