model_id,case_id,model_name,model_type,model_description,active,created_on,created_by,modified_on,modified_by
1,1,energy_optimiser,optimiser,optimiser solver for energy optimisation,1,2024-12-06 10:48:14,0,2024-12-06 10:48:14,0
2,2,energy_optimiser,optimiser,optimiser solver for energy optimisation,1,2024-12-06 10:48:14,0,2026-04-01 16:55:41,NULL
