output_pi_name,seu_id,tag_id,category,output_type,active
UN.EG2.C-4220.KEV_Fractional_Conversion_Bicarbonate_Optimum_EO_CALC_OUTPUT,NULL,3116,Non_SEU,optimum,1
UN.EG2.C-4220.KEV_Regenerator_Bottom_Temperature_Optimum_EO_CALC_OUTPUT,NULL,3114,Non_SEU,optimum,1
UN.EG2.C-4220.KEV_Total_Steam_To_Regenerator_Optimum_EO_CALC_OUTPUT,NULL,3115,Non_SEU,optimum,1
UN.EG2.C-4310.KEV_C2310_Bottom_Pressure_Optimum_EO_CALC_OUTPUT,NULL,3120,Non_SEU,optimum,1
UN.EG2.C-4310.KEV_Cycle_Water_Bleed_EO_Optimum_EO_CALC_OUTPUT,NULL,3118,Non_SEU,optimum,1
UN.EG2.C-4310.KEV_Stripper_Column_Top_Temperature_Optimum_EO_CALC_OUTPUT,NULL,3117,Non_SEU,optimum,1
UN.EG2.C-4310.KEV_Total_Steam_To_Stripping_Column_Optimum_EO_CALC_OUTPUT,NULL,3119,Non_SEU,optimum,1
UN.EG2.E-4523.EG2_LP_To_E_4523_Target_Energy_EO_CALC_OUTPUT,NULL,3577,Non_SEU,optimum,1
UN.EG2.E-4523.KEV_Glycol_Reactor_Inlet_Optimum_EO_CALC_OUTPUT,NULL,3121,Non_SEU,optimum,1
UN.EG2.E-4523.KEV_Reactor_Outlet_Leg_Temperature_Delta_Optimum_EO_CALC_OUTPUT,NULL,3123,Non_SEU,optimum,1
UN.EG2.E-4523.KEV_Steam_Flow_Optimum_EO_CALC_OUTPUT,NULL,3122,Non_SEU,optimum,1
UN.EG2.E-4531.EG2_MP_To_E_4531_Target_Energy_EO_CALC_OUTPUT,NULL,3578,Non_SEU,optimum,1
UN.EG2.E-4531.KEV_5th_Effect_Evaporator_Overhead_Pressure_Controller_Opening_Optimum_EO_CALC_OUTPUT,NULL,3130,Non_SEU,optimum,1
UN.EG2.E-4531.KEV_Recycle_Water_Tank_MEG_Optimum_EO_CALC_OUTPUT,NULL,3124,Non_SEU,optimum,1
UN.EG2.E-4531.KEV_Treated_Water_To_1st_Effect_Evaporator_Optimum_EO_CALC_OUTPUT,NULL,3125,Non_SEU,optimum,1
UN.EG2.E-4531.KEV_Treated_Water_To_2nd_Effect_Evaporator_Optimum_EO_CALC_OUTPUT,NULL,3126,Non_SEU,optimum,1
UN.EG2.E-4531.KEV_Treated_Water_To_3rd_Effect_Evaporator_Optimum_EO_CALC_OUTPUT,NULL,3127,Non_SEU,optimum,1
UN.EG2.E-4531.KEV_Treated_Water_To_4th_Effect_Evaporator_Optimum_EO_CALC_OUTPUT,NULL,3128,Non_SEU,optimum,1
UN.EG2.E-4531.KEV_Treated_Water_To_5th_Effect_Evaporator_Optimum_EO_CALC_OUTPUT,NULL,3129,Non_SEU,optimum,1
UN.EG2.E-4610.EG2_MP_To_E_4610_Target_Energy_EO_CALC_OUTPUT,NULL,3579,Non_SEU,optimum,1
UN.EG2.E-4610.KEV_Chest_Pressure_Optimum_EO_CALC_OUTPUT,NULL,3136,Non_SEU,optimum,1
UN.EG2.E-4610.KEV_Critical_Tray_Temperature_Optimum_EO_CALC_OUTPUT,NULL,3134,Non_SEU,optimum,1
UN.EG2.E-4610.KEV_Reboiler_Steam_Flow_Optimum_EO_CALC_OUTPUT,NULL,3135,Non_SEU,optimum,1
UN.EG2.E-4620.EG2_MP_To_E_4620_Target_Energy_EO_CALC_OUTPUT,NULL,3580,Non_SEU,optimum,1
UN.EG2.E-4620.KEV_Chest_Pressure_Optimum_EO_CALC_OUTPUT,NULL,3133,Non_SEU,optimum,1
UN.EG2.E-4620.KEV_Critical_Tray_Temperature_Optimum_EO_CALC_OUTPUT,NULL,3131,Non_SEU,optimum,1
UN.EG2.E-4620.KEV_Total_Reboiler_Steam_flow_Actual_EO_CALC_OUTPUT,NULL,3132,Non_SEU,optimum,1
UN.EG2.EG2_HP_MP_Shaft_Loss_Target_EO_CALC_OUTPUT,NULL,3974,Non_SEU,optimum,1
UN.EG2.EOEG_2_HPS_Demand_Benefit_EO_CALC_OUTPUT,NULL,1700,Non_SEU,actual,1
UN.EG2.EOEG_2_LPS_Demand_Benefit_EO_CALC_OUTPUT,NULL,1704,Non_SEU,actual,1
UN.EG2.EOEG_2_LPS_Demand_Delta_EO_CALC_OUTPUT,NULL,1787,Non_SEU,optimum,1
UN.EG2.EOEG_2_MPS_Demand_Benefit_EO_CALC_OUTPUT,NULL,1709,Non_SEU,actual,1
UN.EG2.EOEG_2_MPS_Demand_Delta_EO_CALC_OUTPUT,NULL,1780,Non_SEU,optimum,1
UN.EG2.KM-4115.Recycle_Compressor_Efficiency_Optimum_EO_CALC_OUTPUT,NULL,3567,Non_SEU,optimum,1
UN.EG2.KM-4115.Recycle_Compressor_Target_Energy_EO_CALC_OUTPUT,NULL,3576,Non_SEU,optimum,1
UN.EG2.Power_to_EG_2_Benefit_EO_CALC_OUTPUT,NULL,3931,Non_SEU,actual,1
UN.EG2.UN01-02.Regeneration_System_Target_Energy_EO_CALC_OUTPUT,NULL,3624,Non_SEU,optimum,1
UN.EG2.UN01-02.Stripping_System_Target_Energy_EO_CALC_OUTPUT,NULL,3622,Non_SEU,optimum,1
UN.EG3.C-6220.KEV_Fractional_Conversion_Bicarbonate_Optimum_EO_CALC_OUTPUT,NULL,3139,Non_SEU,optimum,1
UN.EG3.C-6220.KEV_Regenerator_Bottom_Temperature_Optimum_EO_CALC_OUTPUT,NULL,3137,Non_SEU,optimum,1
UN.EG3.C-6220.KEV_Total_Steam_to_Regenerator_Optimum_EO_CALC_OUTPUT,NULL,3138,Non_SEU,optimum,1
UN.EG3.E-6220.EG3_LP_To_E_6220_Target_Energy_EO_CALC_OUTPUT,NULL,3625,Non_SEU,optimum,1
UN.EG3.E-6220.KEV_Chest_Pressure_Optimum_EO_CALC_OUTPUT,NULL,3151,Non_SEU,optimum,1
UN.EG3.E-6220.KEV_Critical_Tray_Temperature_Optimum_EO_CALC_OUTPUT,NULL,3149,Non_SEU,optimum,1
UN.EG3.E-6220.KEV_Total_Reboiler_Steam_Flow_Actual_EO_CALC_OUTPUT,NULL,3150,Non_SEU,optimum,1
UN.EG3.E-6531.EG3_MP_To_E_6531_Target_Energy_EO_CALC_OUTPUT,NULL,3581,Non_SEU,optimum,1
UN.EG3.E-6531.KEV_7th_Effect_Evaporator_Overhead_Pressure_Controller_Opening_Optimum_EO_CALC_OUTPUT,NULL,3148,Non_SEU,optimum,1
UN.EG3.E-6531.KEV_Recycle_Water_Tank_MEG_Optimum_EO_CALC_OUTPUT,NULL,3140,Non_SEU,optimum,1
UN.EG3.E-6531.KEV_Treated_Water_To_1st_Effect_Evaporator_Optimum_EO_CALC_OUTPUT,NULL,3141,Non_SEU,optimum,1
UN.EG3.E-6531.KEV_Treated_Water_To_2nd_Effect_Evaporator_Optimum_EO_CALC_OUTPUT,NULL,3142,Non_SEU,optimum,1
UN.EG3.E-6531.KEV_Treated_Water_To_3rd_Effect_Evaporator_Optimum_EO_CALC_OUTPUT,NULL,3143,Non_SEU,optimum,1
UN.EG3.E-6531.KEV_Treated_Water_To_4th_Effect_Evaporator_Optimum_EO_CALC_OUTPUT,NULL,3144,Non_SEU,optimum,1
UN.EG3.E-6531.KEV_Treated_Water_To_5th_Effect_Evaporator_Optimum_EO_CALC_OUTPUT,NULL,3145,Non_SEU,optimum,1
UN.EG3.E-6531.KEV_Treated_Water_To_6th_Effect_Evaporator_Optimum_EO_CALC_OUTPUT,NULL,3146,Non_SEU,optimum,1
UN.EG3.E-6531.KEV_Treated_Water_To_7th_Effect_Evaporator_Optimum_EO_CALC_OUTPUT,NULL,3147,Non_SEU,optimum,1
UN.EG3.E-6620.EG3_MP_To_E_6620_Target_Energy_EO_CALC_OUTPUT,NULL,3582,Non_SEU,optimum,1
UN.EG3.EG3_HP_MP_Shaft_Loss_Target_EO_CALC_OUTPUT,NULL,3975,Non_SEU,optimum,1
UN.EG3.EG3_MP_LP_Shaft_Loss_Target_EO_CALC_OUTPUT,NULL,3984,Non_SEU,optimum,1
UN.EG3.EOEG_3_HPS_Demand_Benefit_EO_CALC_OUTPUT,NULL,1701,Non_SEU,actual,1
UN.EG3.EOEG_3_LPS_Demand_Benefit_EO_CALC_OUTPUT,NULL,1705,Non_SEU,actual,1
UN.EG3.EOEG_3_LPS_Demand_Delta_EO_CALC_OUTPUT,NULL,1799,Non_SEU,optimum,1
UN.EG3.EOEG_3_MPS_Demand_Benefit_EO_CALC_OUTPUT,NULL,1710,Non_SEU,actual,1
UN.EG3.EOEG_3_MPS_Demand_Delta_EO_CALC_OUTPUT,NULL,1792,Non_SEU,optimum,1
UN.EG3.KM-6115.Recycle_Compressor_Efficiency_Optimum_EO_CALC_OUTPUT,NULL,3570,Non_SEU,optimum,1
UN.EG3.KM-6115.Recycle_Compressor_Target_Energy_EO_CALC_OUTPUT,NULL,3619,Non_SEU,optimum,1
UN.EG3.Power_to_EG_3_Benefit_EO_CALC_OUTPUT,NULL,3932,Non_SEU,actual,1
UN.ETH.E-1102.Ethane_Feed_Saturator_Inlet_Steam_Flow_Target_Energy_EO_CALC_OUTPUT,NULL,3598,Non_SEU,optimum,1
UN.ETH.E-1102.KEV_Chest_Pressure_Optimum_EO_CALC_OUTPUT,NULL,3545,Non_SEU,optimum,1
UN.ETH.ETH_HP_LP_Shaft_Loss_Target_EO_CALC_OUTPUT,NULL,4437,Non_SEU,optimum,1
UN.ETH.ETH_LP_LLP_Shaft_Loss_Target_EO_CALC_OUTPUT,NULL,3985,Non_SEU,optimum,1
UN.ETH.ETH_Purge_Shaft_Loss_Target_EO_CALC_OUTPUT,NULL,4438,Non_SEU,optimum,1
UN.ETH.ETH_VHP_HP_Shaft_Loss_Target_EO_CALC_OUTPUT,NULL,4439,Non_SEU,optimum,1
UN.ETH.H-1111.Furnace_A_Fuel_Gas_Flow_Target_Energy_EO_CALC_OUTPUT,NULL,3583,Non_SEU,optimum,1
UN.ETH.H-1111.KEV_Fuel_Flow_Optimum_EO_CALC_OUTPUT,NULL,3025,Non_SEU,optimum,1
UN.ETH.H-1111.KEV_Process_Flow_Rate_Optimum_EO_CALC_OUTPUT,NULL,3026,Non_SEU,optimum,1
UN.ETH.H-1111.KEV_Stack_Excess_O2_Optimum_EO_CALC_OUTPUT,NULL,3024,Non_SEU,optimum,1
UN.ETH.H-1111.KEV_Stack_Temperature_Optimum_EO_CALC_OUTPUT,NULL,3023,Non_SEU,optimum,1
UN.ETH.H-1112.Furnace_B_Fuel_Gas_Flow_Target_Energy_EO_CALC_OUTPUT,NULL,3584,Non_SEU,optimum,1
UN.ETH.H-1112.KEV_Fuel_Flow_Optimum_EO_CALC_OUTPUT,NULL,3030,Non_SEU,optimum,1
UN.ETH.H-1112.KEV_Process_Flow_Rate_Optimum_EO_CALC_OUTPUT,NULL,3031,Non_SEU,optimum,1
UN.ETH.H-1112.KEV_Stack_Excess_O2_Optimum_EO_CALC_OUTPUT,NULL,3029,Non_SEU,optimum,1
UN.ETH.H-1112.KEV_Stack_Temperature_Optimum_EO_CALC_OUTPUT,NULL,3028,Non_SEU,optimum,1
UN.ETH.H-1113.Furnace_C_Fuel_Gas_Flow_Target_Energy_EO_CALC_OUTPUT,NULL,3585,Non_SEU,optimum,1
UN.ETH.H-1113.KEV_Fuel_Flow_Optimum_EO_CALC_OUTPUT,NULL,3035,Non_SEU,optimum,1
UN.ETH.H-1113.KEV_Process_Flow_Rate_Optimum_EO_CALC_OUTPUT,NULL,3036,Non_SEU,optimum,1
UN.ETH.H-1113.KEV_Stack_Excess_O2_Optimum_EO_CALC_OUTPUT,NULL,3034,Non_SEU,optimum,1
UN.ETH.H-1113.KEV_Stack_Temperature_Optimum_EO_CALC_OUTPUT,NULL,3033,Non_SEU,optimum,1
UN.ETH.H-1114.Furnace_D_Fuel_Gas_Flow_Target_Energy_EO_CALC_OUTPUT,NULL,3586,Non_SEU,optimum,1
UN.ETH.H-1114.KEV_Fuel_Flow_Optimum_EO_CALC_OUTPUT,NULL,3040,Non_SEU,optimum,1
UN.ETH.H-1114.KEV_Process_Flow_Rate_Optimum_EO_CALC_OUTPUT,NULL,3041,Non_SEU,optimum,1
UN.ETH.H-1114.KEV_Stack_Excess_O2_Optimum_EO_CALC_OUTPUT,NULL,3039,Non_SEU,optimum,1
UN.ETH.H-1114.KEV_Stack_Temperature_Optimum_EO_CALC_OUTPUT,NULL,3038,Non_SEU,optimum,1
UN.ETH.H-1115.Furnace_E_Fuel_Gas_Flow_Target_Energy_EO_CALC_OUTPUT,NULL,3587,Non_SEU,optimum,1
UN.ETH.H-1115.KEV_Fuel_Flow_Optimum_EO_CALC_OUTPUT,NULL,3045,Non_SEU,optimum,1
UN.ETH.H-1115.KEV_Process_Flow_Rate_Optimum_EO_CALC_OUTPUT,NULL,3046,Non_SEU,optimum,1
UN.ETH.H-1115.KEV_Stack_Excess_O2_Optimum_EO_CALC_OUTPUT,NULL,3044,Non_SEU,optimum,1
UN.ETH.H-1115.KEV_Stack_Temperature_Optimum_EO_CALC_OUTPUT,NULL,3043,Non_SEU,optimum,1
UN.ETH.H-1116.Furnace_F_Fuel_Gas_Flow_Target_Energy_EO_CALC_OUTPUT,NULL,3588,Non_SEU,optimum,1
UN.ETH.H-1116.KEV_Fuel_Flow_Optimum_EO_CALC_OUTPUT,NULL,3050,Non_SEU,optimum,1
UN.ETH.H-1116.KEV_Process_Flow_Rate_Optimum_EO_CALC_OUTPUT,NULL,3051,Non_SEU,optimum,1
UN.ETH.H-1116.KEV_Stack_Excess_O2%_Optimum_EO_CALC_OUTPUT,NULL,3049,Non_SEU,optimum,1
UN.ETH.H-1116.KEV_Stack_Temp.C_Optimum_EO_CALC_OUTPUT,NULL,3048,Non_SEU,optimum,1
UN.ETH.H-1117.Furnace_G_Fuel_Gas_Flow_Target_Energy_EO_CALC_OUTPUT,NULL,3589,Non_SEU,optimum,1
UN.ETH.H-1117.KEV_Fuel_Flow_Optimum_EO_CALC_OUTPUT,NULL,3055,Non_SEU,optimum,1
UN.ETH.H-1117.KEV_Process_Flow_Rate_Optimum_EO_CALC_OUTPUT,NULL,3056,Non_SEU,optimum,1
UN.ETH.H-1117.KEV_Stack_Excess_O2_Optimum_EO_CALC_OUTPUT,NULL,3054,Non_SEU,optimum,1
UN.ETH.H-1117.KEV_Stack_Temperature_Optimum_EO_CALC_OUTPUT,NULL,3053,Non_SEU,optimum,1
UN.ETH.H-1118.Furnace_H_Fuel_Gas_Flow_Target_Energy_EO_CALC_OUTPUT,NULL,3590,Non_SEU,optimum,1
UN.ETH.H-1118.KEV_Fuel_Flow_Optimum_EO_CALC_OUTPUT,NULL,3060,Non_SEU,optimum,1
UN.ETH.H-1118.KEV_Process_Flow_Rate_Optimum_EO_CALC_OUTPUT,NULL,3061,Non_SEU,optimum,1
UN.ETH.H-1118.KEV_Stack_Excess_O2_Optimum_EO_CALC_OUTPUT,NULL,3059,Non_SEU,optimum,1
UN.ETH.H-1118.KEV_Stack_Temperature_Optimum_EO_CALC_OUTPUT,NULL,3058,Non_SEU,optimum,1
UN.ETH.H-1119.Furnace_J_Fuel_Gas_Flow_Target_Energy_EO_CALC_OUTPUT,NULL,3591,Non_SEU,optimum,1
UN.ETH.H-1119.KEV_Fuel_Flow_Optimum_EO_CALC_OUTPUT,NULL,3065,Non_SEU,optimum,1
UN.ETH.H-1119.KEV_Process_Flow_Rate_Optimum_EO_CALC_OUTPUT,NULL,3066,Non_SEU,optimum,1
UN.ETH.H-1119.KEV_Stack_Excess_O2_Optimum_EO_CALC_OUTPUT,NULL,3064,Non_SEU,optimum,1
UN.ETH.H-1119.KEV_Stack_Temperature_Optimum_EO_CALC_OUTPUT,NULL,3063,Non_SEU,optimum,1
UN.ETH.K-1200.KEV_CGC_tubrine_inlet_VHP_steam_temp_Optimum_EO_CALC_OUTPUT,NULL,3542,Non_SEU,optimum,1
UN.ETH.K-1200.KEV_Discharge_Pressure_5Stage_Optimum_EO_CALC_OUTPUT,NULL,3540,Non_SEU,optimum,1
UN.ETH.K-1200.KEV_Quench_overhead_temp_Optimum_EO_CALC_OUTPUT,NULL,3543,Non_SEU,optimum,1
UN.ETH.K-1200.KEV_Turbine_exhaust_pressure_Optimum_EO_CALC_OUTPUT,NULL,3541,Non_SEU,optimum,1
UN.ETH.K-1200.KEV_VHP_letdown_controller_opening_Optimum_EO_CALC_OUTPUT,NULL,3544,Non_SEU,optimum,1
UN.ETH.KT-1200.CGC_Turbine_Inlet_Steam_Flow_Target_Energy_EO_CALC_OUTPUT,NULL,3597,Non_SEU,optimum,1
UN.ETH.KT-1500.KEV_Compressor_RPM_Optimum_in_C2R_EO_CALC_OUTPUT,NULL,3739,Non_SEU,optimum,1
UN.ETH.KT-1500.KEV_Ethylene_in_Recycle_Ethane_Optimum_in_C2R_EO_CALC_OUTPUT,NULL,3756,Non_SEU,optimum,1
UN.ETH.KT-1500.KEV_Ethylene_in_tail_gas_Optimum_in_C2R_EO_CALC_OUTPUT,NULL,3747,Non_SEU,optimum,1
