constraint_id,model_id,constraint_category_id,system,expression,active
196,1,3,Deaerator,([Total_BFW_Generated]*(1-[Whatif_running])*109==[Return_Condensate]*(1-[Whatif_running])*75+[DMW_Makeup]*(1-[Whatif_running])*40+([Deaerator_LPS])*(1-[Whatif_running])*684+[Condensate_From_P_7106_to_Deaerator_Header]*(1-[Whatif_running])*75+[BFW_Imbalance_Enthalpy])*(1-[Whatif_running]),0
197,1,1,DMW Drives,([DMW_Turbine_A_Status] + [DMW_Pump_Motor_B_Status] + [DMW_Turbine_C_Status])*(1-[Whatif_running])>= ([Total_DMW_Demand]+[Buffer_in_DWM_Flow_Margin])*(1-[Whatif_running])*0/[DMW_Pump_Rated_Flow],1
198,1,1,DMW Drives,([DMW_Turbine_A_Status] + [DMW_Pump_Motor_B_Status] + [DMW_Turbine_C_Status])<= (([Total_DMW_Demand]+[Buffer_in_DWM_Flow_Margin])/[DMW_Pump_Rated_Flow])+1,0
199,1,2,BFW Drives,([BFW_pump_Rated_Flow]*([BFW_A_Motor_Status]+[BFW_B_Turb_Status]+[BFW_C_Turb_Status]+[BFW_D_Motor_Status]+[BFW_E_Turb_Status]+[BFW_F_Motor_Status])>=[BFW_Flow_Consumption]+[Whatif_running]*[minimum_flow_BFW] + [Buffer_in_BFW_Flow_Margin]),0
200,1,1,DMW Drives,([DMW_Turbine_A_Status] + [DMW_Pump_Motor_B_Status] + [DMW_Turbine_C_Status])*0< (([Total_DMW_Demand]+[Buffer_in_DWM_Flow_Margin])/[DMW_Pump_Rated_Flow])+1,1
201,1,5,BFW Drives,[Whatif_running]*([BFW_Flow_Consumption]+ [minimum_flow_BFW])/[BFW_Drives_Running]>=[Whatif_running]*[BFW_A_Motor_Status]*103,0
202,1,5,BFW Drives,[Whatif_running]*([BFW_Flow_Consumption]+ [minimum_flow_BFW])/[BFW_Drives_Running]>=[Whatif_running]*[BFW_B_Turb_Status]*103,0
203,1,5,BFW Drives,[Whatif_running]*([BFW_Flow_Consumption]+ [minimum_flow_BFW])/[BFW_Drives_Running]>=[Whatif_running]*[BFW_C_Turb_Status]*103,0
204,1,5,BFW Drives,[Whatif_running]*([BFW_Flow_Consumption]+ [minimum_flow_BFW])/[BFW_Drives_Running]>=[Whatif_running]*[BFW_D_Motor_Status]*103,0
205,1,5,BFW Drives,[Whatif_running]*([BFW_Flow_Consumption]+ [minimum_flow_BFW])/[BFW_Drives_Running]>=[Whatif_running]*[BFW_E_Turb_Status]*103,0
206,1,5,BFW Drives,[Whatif_running]*([BFW_Flow_Consumption]+ [minimum_flow_BFW])/[BFW_Drives_Running]>=[Whatif_running]*[BFW_F_Motor_Status]*103,0
207,1,2,Air_Compressor,((17.309*[Air_Compressor_Turbine_A_Status] + 17.309*[Air_Compressor_Motor_B_Status] +11.89*[Air_Compressor_Motor_C_Status]+17.309*[Air_Compressor_Turbine_D_Status])>=[Total_Air_Demand]+ [Buffer_in_Air_Flow_Margin]),0
208,1,2,Hello World,Hello World,0
209,1,4,Test Tag 2,Test Tag,0
210,1,1,TEST,2+28-7,0
211,1,2,test,test,0
212,1,2,a_test,0,0
213,1,5,1,1,0
214,1,2,1,1,0
215,1,2,Air_Compressor,([air_compressor_max_capacity]*([Air_Compressor_Turbine_A_Status] + [Air_Compressor_Motor_B_Status] +[Air_Compressor_Turbine_D_Status])+[air_compressor_c_max_capacity]*[Air_Compressor_Motor_C_Status])>=[Total_Air_Demand]+ [Buffer_in_Air_Flow_Margin],1
216,1,2,1,1,0
217,1,2,1,1,0
218,1,3,Deaerator,[Total_BFW_Generated]*(1-[Whatif_running])*109*[minimum_flow_BFW]==(([Return_Condensate]*(1-[Whatif_running])*75+[DMW_Makeup]*(1-[Whatif_running])*40+[Deaerator_LPS]*(1-[Whatif_running])*684+[Condensate_From_P_7106_to_Deaerator_Header]*(1-[Whatif_running])*75+[BFW_Imbalance_Enthalpy])*(1-[Whatif_running]))*[minimum_flow_BFW],1
219,1,5,Boilers,[BLR_3_HPS_Gen] >= 50*[BLR_3_Status],1
