seu_output_id,case_id,time_stamp,seu_id,actual,target,baseline,gain,enpi,enpi_benefit,gain_benefit,baseline_gjph,actual_gjph,target_gjph
43,1,2026-03-25 09:00:00.000,74,5.58458227836169,5.58458227836169,5.47605,-6.46439147604195,0,0,-0.0314956287190404,326.164082029205,332.628473505247,332.628473505247
44,1,2026-03-25 09:00:00.000,75,5.09137893148846,5.09137893148846,5.227667,8.28731898877794,0,0,0.0403772455480401,317.880680746739,309.593361757961,309.593361757961
45,1,2026-03-25 09:00:00.000,76,4.98127961799218,4.98127961799218,5.195077,12.6620080744614,0,0,0.0616914842841335,307.674987895981,295.01297982152,295.01297982152
46,1,2026-03-25 09:00:00.000,77,4.9237918688725,4.9237918688725,5.492222,28.9858821132565,0,0,0.141224210278177,280.064146346467,251.07826423321,251.07826423321
47,1,2026-03-25 09:00:00.000,78,5.1320403759284,5.1320403759284,5.350069,13.0810603770053,0,0,0.0637331792810557,320.988016633831,307.906956256826,307.906956256826
48,1,2026-03-25 09:00:00.000,79,5.21623827684014,5.21623827684014,5.363277,8.88390339559055,0,0,0.0432839075356652,324.042767291927,315.158863896336,315.158863896336
49,1,2026-03-25 09:00:00.000,80,4.81042969071891,4.82095597630258,5.291766,28.8793398058361,-0.631558792475005,-0.00307706321867397,0.140705117805232,317.496738850271,288.617399044435,288.617399044435
50,1,2026-03-25 09:00:00.000,81,2.84288339677311,2.83746513062445,2.864056,1.37080181334167,-17.6326791533785,-35.9706654728921,2.79643569921701,185.430819075011,184.060017261669,184.060017261669
51,1,2026-03-25 09:00:00.000,82,2.6833793546073,2.67769706873912,2.81865,9.27832464542493,-19.1311378746118,-39.0275212642081,18.9277822766669,193.333518043806,184.055193398381,184.055193398381
52,1,2026-03-25 09:00:00.000,83,2.73756544226292,2.73438965738136,2.807324,4.68990274070217,-10.3179911882911,-21.0487020241139,9.56740159103242,188.737797178393,184.047894437691,184.047894437691
53,1,2026-03-25 09:00:00.000,84,2.64659547830954,2.64182678326272,2.79906,10.602943663762,-16.4104733438562,-33.4773656214667,21.6300050740744,194.656928460664,184.053984796902,184.053984796902
54,1,2026-03-25 09:00:00.000,85,2.6980966769026,0,2.846544,10.3030981085046,187.263429129793,382.017395424777,21.0183201413494,197.566527238297,187.263429129793,0
55,1,2026-03-25 09:00:00.000,86,1.42499595706139,1.42499595706139,1.417897,-1.07465775913835,0,0,-2.40006541321644,214.644770989946,215.719428749084,215.719428749084
