run_info_id,model_id,last_run_time,last_data_update,model_status,model_version_id
17328,1,2024-12-01 00:00:00.000,2024-12-01 00:00:00.000,on_default,1
17329,1,2024-12-01 01:00:00.000,2024-12-01 01:00:00.000,on_default,1
17330,1,2024-12-01 02:00:00.000,2024-12-01 02:00:00.000,on_default,1
17331,1,2024-12-01 03:00:00.000,2024-12-01 03:00:00.000,on_default,1
17332,1,2024-12-01 04:00:00.000,2024-12-01 04:00:00.000,on_default,1
17333,1,2024-12-01 05:00:00.000,2024-12-01 05:00:00.000,on_default,1
17334,1,2024-12-01 06:00:00.000,2024-12-01 06:00:00.000,on_default,1
17335,1,2024-12-01 07:00:00.000,2024-12-01 07:00:00.000,on_default,1
17336,1,2024-12-01 08:00:00.000,2024-12-01 08:00:00.000,on_default,1
17337,1,2024-12-01 09:00:00.000,2024-12-01 09:00:00.000,on_default,1
17338,1,2024-12-01 10:00:00.000,2024-12-01 10:00:00.000,on_default,1
17339,1,2024-12-01 11:00:00.000,2024-12-01 11:00:00.000,on_default,1
17340,1,2024-12-01 12:00:00.000,2024-12-01 12:00:00.000,on_default,1
17341,1,2024-12-01 13:00:00.000,2024-12-01 13:00:00.000,on_default,1
17342,1,2024-12-01 14:00:00.000,2024-12-01 14:00:00.000,on_default,1
17343,1,2024-12-01 15:00:00.000,2024-12-01 15:00:00.000,on_default,1
17344,1,2024-12-01 16:00:00.000,2024-12-01 16:00:00.000,on_default,1
17345,1,2024-12-01 17:00:00.000,2024-12-01 17:00:00.000,on_default,1
17346,1,2024-12-01 18:00:00.000,2024-12-01 18:00:00.000,on_default,1
17347,1,2024-12-01 19:00:00.000,2024-12-01 19:00:00.000,on_default,1
17348,1,2024-12-01 20:00:00.000,2024-12-01 20:00:00.000,on_default,1
17349,1,2024-12-01 21:00:00.000,2024-12-01 21:00:00.000,on_default,1
17350,1,2024-12-01 22:00:00.000,2024-12-01 22:00:00.000,on_default,1
17351,1,2024-12-01 23:00:00.000,2024-12-01 23:00:00.000,on_default,1
17352,1,2024-12-02 00:00:00.000,2024-12-02 00:00:00.000,on_default,1
17353,1,2024-12-02 01:00:00.000,2024-12-02 01:00:00.000,on_default,1
17354,1,2024-12-02 02:00:00.000,2024-12-02 02:00:00.000,on_default,1
17355,1,2024-12-02 03:00:00.000,2024-12-02 03:00:00.000,on_default,1
17356,1,2024-12-02 04:00:00.000,2024-12-02 04:00:00.000,on_default,1
17357,1,2024-12-02 05:00:00.000,2024-12-02 05:00:00.000,on_default,1
17358,1,2024-12-02 06:00:00.000,2024-12-02 06:00:00.000,on_default,1
17359,1,2024-12-02 07:00:00.000,2024-12-02 07:00:00.000,on_default,1
17360,1,2024-12-02 08:00:00.000,2024-12-02 08:00:00.000,on_default,1
17361,1,2024-12-02 09:00:00.000,2024-12-02 09:00:00.000,on_default,1
17362,1,2024-12-02 10:00:00.000,2024-12-02 10:00:00.000,on_default,1
17363,1,2024-12-02 11:00:00.000,2024-12-02 11:00:00.000,on_default,1
17364,1,2024-12-02 12:00:00.000,2024-12-02 12:00:00.000,on_default,1
17365,1,2024-12-02 13:00:00.000,2024-12-02 13:00:00.000,on_default,1
17366,1,2024-12-02 14:00:00.000,2024-12-02 14:00:00.000,on_default,1
17367,1,2024-12-02 15:00:00.000,2024-12-02 15:00:00.000,on_default,1
17368,1,2024-12-02 16:00:00.000,2024-12-02 16:00:00.000,on_default,1
17369,1,2024-12-02 17:00:00.000,2024-12-02 17:00:00.000,on_default,1
17370,1,2024-12-02 18:00:00.000,2024-12-02 18:00:00.000,on_default,1
17371,1,2024-12-02 19:00:00.000,2024-12-02 19:00:00.000,on_default,1
17372,1,2024-12-02 20:00:00.000,2024-12-02 20:00:00.000,on_default,1
17373,1,2024-12-02 21:00:00.000,2024-12-02 21:00:00.000,on_default,1
17374,1,2024-12-02 22:00:00.000,2024-12-02 22:00:00.000,on_default,1
17375,1,2024-12-02 23:00:00.000,2024-12-02 23:00:00.000,on_default,1
17376,1,2024-12-03 00:00:00.000,2024-12-03 00:00:00.000,on_default,1
17377,1,2024-12-03 01:00:00.000,2024-12-03 01:00:00.000,on_default,1
17378,1,2024-12-03 02:00:00.000,2024-12-03 02:00:00.000,on_default,1
17379,1,2024-12-03 03:00:00.000,2024-12-03 03:00:00.000,on_default,1
17380,1,2024-12-03 04:00:00.000,2024-12-03 04:00:00.000,on_default,1
17381,1,2024-12-03 05:00:00.000,2024-12-03 05:00:00.000,on_default,1
17382,1,2024-12-03 06:00:00.000,2024-12-03 06:00:00.000,on_default,1
17383,1,2024-12-03 07:00:00.000,2024-12-03 07:00:00.000,on_default,1
17384,1,2024-12-03 08:00:00.000,2024-12-03 08:00:00.000,on_default,1
17385,1,2024-12-03 09:00:00.000,2024-12-03 09:00:00.000,on_default,1
17386,1,2024-12-03 10:00:00.000,2024-12-03 10:00:00.000,on_default,1
17387,1,2024-12-03 11:00:00.000,2024-12-03 11:00:00.000,on_default,1
17388,1,2024-12-03 12:00:00.000,2024-12-03 12:00:00.000,on_default,1
17389,1,2024-12-03 13:00:00.000,2024-12-03 13:00:00.000,on_default,1
17390,1,2024-12-03 14:00:00.000,2024-12-03 14:00:00.000,on_default,1
17391,1,2024-12-03 15:00:00.000,2024-12-03 15:00:00.000,on_default,1
17392,1,2024-12-03 16:00:00.000,2024-12-03 16:00:00.000,on_default,1
17393,1,2024-12-03 17:00:00.000,2024-12-03 17:00:00.000,on_default,1
17394,1,2024-12-03 18:00:00.000,2024-12-03 18:00:00.000,on_default,1
17395,1,2024-12-03 19:00:00.000,2024-12-03 19:00:00.000,on_default,1
17396,1,2024-12-03 20:00:00.000,2024-12-03 20:00:00.000,on_default,1
17397,1,2024-12-03 21:00:00.000,2024-12-03 21:00:00.000,on_default,1
17398,1,2024-12-03 22:00:00.000,2024-12-03 22:00:00.000,on_default,1
17399,1,2024-12-03 23:00:00.000,2024-12-03 23:00:00.000,on_default,1
17400,1,2024-12-04 00:00:00.000,2024-12-04 00:00:00.000,on_default,1
17401,1,2024-12-04 01:00:00.000,2024-12-04 01:00:00.000,on_default,1
17402,1,2024-12-04 02:00:00.000,2024-12-04 02:00:00.000,on_default,1
17403,1,2024-12-04 03:00:00.000,2024-12-04 03:00:00.000,on_default,1
17404,1,2024-12-04 04:00:00.000,2024-12-04 04:00:00.000,on_default,1
17405,1,2024-12-04 05:00:00.000,2024-12-04 05:00:00.000,on_default,1
17406,1,2024-12-04 06:00:00.000,2024-12-04 06:00:00.000,on_default,1
17407,1,2024-12-04 07:00:00.000,2024-12-04 07:00:00.000,on_default,1
17408,1,2024-12-04 08:00:00.000,2024-12-04 08:00:00.000,on_default,1
17409,1,2024-12-04 09:00:00.000,2024-12-04 09:00:00.000,on_default,1
17410,1,2024-12-04 10:00:00.000,2024-12-04 10:00:00.000,on_default,1
17411,1,2024-12-04 11:00:00.000,2024-12-04 11:00:00.000,on_default,1
17412,1,2024-12-04 12:00:00.000,2024-12-04 12:00:00.000,on_default,1
17413,1,2024-12-04 13:00:00.000,2024-12-04 13:00:00.000,on_default,1
17414,1,2024-12-04 14:00:00.000,2024-12-04 14:00:00.000,on_default,1
17415,1,2024-12-04 15:00:00.000,2024-12-04 15:00:00.000,on_default,1
17416,1,2024-12-04 16:00:00.000,2024-12-04 16:00:00.000,on_default,1
17417,1,2024-12-04 17:00:00.000,2024-12-04 17:00:00.000,on_default,1
17418,1,2024-12-04 18:00:00.000,2024-12-04 18:00:00.000,on_default,1
17419,1,2024-12-04 19:00:00.000,2024-12-04 19:00:00.000,on_default,1
17420,1,2024-12-04 20:00:00.000,2024-12-04 20:00:00.000,on_default,1
17421,1,2024-12-04 21:00:00.000,2024-12-04 21:00:00.000,on_default,1
17422,1,2024-12-04 22:00:00.000,2024-12-04 22:00:00.000,on_default,1
17423,1,2024-12-04 23:00:00.000,2024-12-04 23:00:00.000,on_default,1
17424,1,2024-12-05 00:00:00.000,2024-12-05 00:00:00.000,on_default,1
17425,1,2024-12-05 01:00:00.000,2024-12-05 01:00:00.000,on_default,1
17426,1,2024-12-05 02:00:00.000,2024-12-05 02:00:00.000,on_default,1
17427,1,2024-12-05 03:00:00.000,2024-12-05 03:00:00.000,on_default,1
17428,1,2024-12-05 04:00:00.000,2024-12-05 04:00:00.000,on_default,1
17429,1,2024-12-05 05:00:00.000,2024-12-05 05:00:00.000,on_default,1
17430,1,2024-12-05 06:00:00.000,2024-12-05 06:00:00.000,on_default,1
17431,1,2024-12-05 07:00:00.000,2024-12-05 07:00:00.000,on_default,1
17432,1,2024-12-05 08:00:00.000,2024-12-05 08:00:00.000,on_default,1
17433,1,2024-12-05 09:00:00.000,2024-12-05 09:00:00.000,on_default,1
17434,1,2024-12-05 10:00:00.000,2024-12-05 10:00:00.000,on_default,1
17435,1,2024-12-05 11:00:00.000,2024-12-05 11:00:00.000,on_default,1
17436,1,2024-12-05 12:00:00.000,2024-12-05 12:00:00.000,on_default,1
17437,1,2024-12-05 13:00:00.000,2024-12-05 13:00:00.000,on_default,1
17438,1,2024-12-05 14:00:00.000,2024-12-05 14:00:00.000,on_default,1
17439,1,2024-12-05 15:00:00.000,2024-12-05 15:00:00.000,on_default,1
17440,1,2024-12-05 17:00:00.000,2024-12-05 17:00:00.000,on_default,1
17441,1,2024-12-05 18:00:00.000,2024-12-05 18:00:00.000,on_default,1
17442,1,2024-12-05 19:00:00.000,2024-12-05 19:00:00.000,on_default,1
17443,1,2024-12-05 16:00:00.000,2024-12-05 16:00:00.000,on_default,1
17444,1,2024-12-05 20:00:00.000,2024-12-05 20:00:00.000,on_default,1
17445,1,2024-12-05 21:00:00.000,2024-12-05 21:00:00.000,on_default,1
17446,1,2024-12-05 22:00:00.000,2024-12-05 22:00:00.000,on_default,1
17447,1,2024-12-05 23:00:00.000,2024-12-05 23:00:00.000,on_default,1
17448,1,2024-12-06 00:00:00.000,2024-12-06 00:00:00.000,on_default,1
17449,1,2024-12-06 01:00:00.000,2024-12-06 01:00:00.000,on_default,1
17450,1,2024-12-06 02:00:00.000,2024-12-06 02:00:00.000,on_default,1
17451,1,2024-12-06 03:00:00.000,2024-12-06 03:00:00.000,on_default,1
17452,1,2024-12-06 04:00:00.000,2024-12-06 04:00:00.000,on_default,1
17453,1,2024-12-06 05:00:00.000,2024-12-06 05:00:00.000,on_default,1
17454,1,2024-12-06 06:00:00.000,2024-12-06 06:00:00.000,on_default,1
17455,1,2024-12-06 07:00:00.000,2024-12-06 07:00:00.000,on_default,1
17456,1,2024-12-06 08:00:00.000,2024-12-06 08:00:00.000,on_default,1
17457,1,2024-12-06 09:00:00.000,2024-12-06 09:00:00.000,on_default,1
17458,1,2024-12-06 10:00:00.000,2024-12-06 10:00:00.000,on_default,1
17459,1,2024-12-06 11:00:00.000,2024-12-06 11:00:00.000,on_default,1
17460,1,2024-12-06 12:00:00.000,2024-12-06 12:00:00.000,on_default,1
17461,1,2024-12-06 13:00:00.000,2024-12-06 13:00:00.000,on_default,1
17462,1,2024-12-06 14:00:00.000,2024-12-06 14:00:00.000,on_default,1
17463,1,2024-12-06 15:00:00.000,2024-12-06 15:00:00.000,on_default,1
17464,1,2024-12-06 16:00:00.000,2024-12-06 16:00:00.000,on_default,1
17465,1,2024-12-06 17:00:00.000,2024-12-06 17:00:00.000,on_default,1
17466,1,2024-12-06 18:00:00.000,2024-12-06 18:00:00.000,on_default,1
17467,1,2024-12-06 19:00:00.000,2024-12-06 19:00:00.000,on_default,1
17468,1,2024-12-06 20:00:00.000,2024-12-06 20:00:00.000,on_default,1
17469,1,2024-12-06 21:00:00.000,2024-12-06 21:00:00.000,on_default,1
17470,1,2024-12-06 22:00:00.000,2024-12-06 22:00:00.000,on_default,1
17471,1,2024-12-06 23:00:00.000,2024-12-06 23:00:00.000,on_default,1
17472,1,2024-12-07 00:00:00.000,2024-12-07 00:00:00.000,on_default,1
17473,1,2024-12-07 01:00:00.000,2024-12-07 01:00:00.000,on_default,1
17474,1,2024-12-07 02:00:00.000,2024-12-07 02:00:00.000,on_default,1
17475,1,2024-12-07 03:00:00.000,2024-12-07 03:00:00.000,on_default,1
17476,1,2024-12-07 04:00:00.000,2024-12-07 04:00:00.000,on_default,1
17477,1,2024-12-07 05:00:00.000,2024-12-07 05:00:00.000,on_default,1
17478,1,2024-12-07 06:00:00.000,2024-12-07 06:00:00.000,on_default,1
17479,1,2024-12-07 07:00:00.000,2024-12-07 07:00:00.000,on_default,1
17480,1,2024-12-07 08:00:00.000,2024-12-07 08:00:00.000,on_default,1
17481,1,2024-12-07 09:00:00.000,2024-12-07 09:00:00.000,on_default,1
17482,1,2024-12-07 10:00:00.000,2024-12-07 10:00:00.000,on_default,1
17483,1,2024-12-07 11:00:00.000,2024-12-07 11:00:00.000,on_default,1
17484,1,2024-12-07 12:00:00.000,2024-12-07 12:00:00.000,on_default,1
17485,1,2024-12-07 13:00:00.000,2024-12-07 13:00:00.000,on_default,1
17486,1,2024-12-07 14:00:00.000,2024-12-07 14:00:00.000,on_default,1
17487,1,2024-12-07 15:00:00.000,2024-12-07 15:00:00.000,on_default,1
17488,1,2024-12-07 17:00:00.000,2024-12-07 17:00:00.000,on_default,1
17489,1,2024-12-07 18:00:00.000,2024-12-07 18:00:00.000,on_default,1
17490,1,2024-12-07 19:00:00.000,2024-12-07 19:00:00.000,on_default,1
17491,1,2024-12-07 16:00:00.000,2024-12-07 16:00:00.000,on_default,1
17492,1,2024-12-07 20:00:00.000,2024-12-07 20:00:00.000,on_default,1
17493,1,2024-12-07 21:00:00.000,2024-12-07 21:00:00.000,on_default,1
17494,1,2024-12-07 22:00:00.000,2024-12-07 22:00:00.000,on_default,1
17495,1,2024-12-07 23:00:00.000,2024-12-07 23:00:00.000,on_default,1
17496,1,2024-12-08 00:00:00.000,2024-12-08 00:00:00.000,on_default,1
17497,1,2024-12-08 01:00:00.000,2024-12-08 01:00:00.000,on_default,1
17498,1,2024-12-08 02:00:00.000,2024-12-08 02:00:00.000,on_default,1
17499,1,2024-12-08 03:00:00.000,2024-12-08 03:00:00.000,on_default,1
17500,1,2024-12-08 04:00:00.000,2024-12-08 04:00:00.000,on_default,1
17501,1,2024-12-08 05:00:00.000,2024-12-08 05:00:00.000,on_default,1
17502,1,2024-12-08 06:00:00.000,2024-12-08 06:00:00.000,on_default,1
17503,1,2024-12-08 07:00:00.000,2024-12-08 07:00:00.000,on_default,1
17504,1,2024-12-08 08:00:00.000,2024-12-08 08:00:00.000,on_default,1
17505,1,2024-12-08 09:00:00.000,2024-12-08 09:00:00.000,on_default,1
17506,1,2024-12-08 10:00:00.000,2024-12-08 10:00:00.000,on_default,1
17507,1,2024-12-08 11:00:00.000,2024-12-08 11:00:00.000,on_default,1
17508,1,2024-12-08 12:00:00.000,2024-12-08 12:00:00.000,on_default,1
17509,1,2024-12-08 13:00:00.000,2024-12-08 13:00:00.000,on_default,1
17510,1,2024-12-08 14:00:00.000,2024-12-08 14:00:00.000,on_default,1
17511,1,2024-12-08 15:00:00.000,2024-12-08 15:00:00.000,on_default,1
17512,1,2024-12-08 17:00:00.000,2024-12-08 17:00:00.000,on_default,1
17513,1,2024-12-08 18:00:00.000,2024-12-08 18:00:00.000,off_opt_nf,1
17514,1,2024-12-08 19:00:00.000,2024-12-08 19:00:00.000,off_opt_nf,1
17515,1,2024-12-08 16:00:00.000,2024-12-08 16:00:00.000,on_default,1
17516,1,2024-12-08 20:00:00.000,2024-12-08 20:00:00.000,on_default,1
17517,1,2024-12-08 21:00:00.000,2024-12-08 21:00:00.000,on_default,1
17518,1,2024-12-08 22:00:00.000,2024-12-08 22:00:00.000,on_default,1
17519,1,2024-12-08 23:00:00.000,2024-12-08 23:00:00.000,on_default,1
17520,1,2024-12-09 00:00:00.000,2024-12-09 00:00:00.000,on_default,1
17521,1,2024-12-09 01:00:00.000,2024-12-09 01:00:00.000,on_default,1
17522,1,2024-12-09 02:00:00.000,2024-12-09 02:00:00.000,on_default,1
17523,1,2024-12-09 03:00:00.000,2024-12-09 03:00:00.000,on_default,1
17524,1,2024-12-09 04:00:00.000,2024-12-09 04:00:00.000,on_default,1
