case_id,case_name,frequency,slot,description,reference_doc_url,affiliate_id,active,created_on,created_by,modified_on,modified_by
1,UTD_EO_1,60,1,United Energy Optimization,https://sin.ecm.sabic.com/ecm/livelink.exe/app/nodes/837654133,10,1,2024-12-06 10:42:41,0,2024-12-06 10:42:41,0
2,Case_test,60,1,Test case,NULL,14,0,2024-12-06 10:43:14,0,2024-12-06 10:43:14,0
