tag_name,category,formula,status,value,missing_inputs
BFW_Temp,Boiler -- BFW System,109,computed,109.0,
BFW_pump_Rated_Flow,Boiler -- BFW System,336,computed,336.0,
BFW_to_Boilers,Boiler -- Performance & Energy,[Total_BLR_HPS_Generation]/.99,pi_value,316.364441,
BFW_to_Boilers_benefit,Boiler -- Performance & Energy,"if((abs(([BFW_to_Boilers_actual]-[BFW_to_Boilers_optimum])*[BFW_Cost_actual]))>0.5,([BFW_to_Boilers_actual]-[BFW_to_Boilers_optimum])*[BFW_Cost_actual],0)",missing_inputs,,BFW_Cost_actual; BFW_to_Boilers_actual; BFW_to_Boilers_optimum
BFW_to_EOEG_1_benifit,Boiler -- BFW System,"if((abs(([BFW_to_EOEG_1_actual]-[BFW_to_EOEG_1_optimum])*[BFW_Cost_actual]))>0.5,([BFW_to_EOEG_1_actual]-[BFW_to_EOEG_1_optimum])*[BFW_Cost_actual],0)",missing_inputs,,BFW_Cost_actual; BFW_to_EOEG_1_actual; BFW_to_EOEG_1_optimum
BFW_to_EOEG_2_benifit,Boiler -- BFW System,"if((abs(([BFW_to_EOEG_2_actual]-[BFW_to_EOEG_2_optimum])*[BFW_Cost_actual]))>0.5,([BFW_to_EOEG_2_actual]-[BFW_to_EOEG_2_optimum])*[BFW_Cost_actual],0)",missing_inputs,,BFW_Cost_actual; BFW_to_EOEG_2_actual; BFW_to_EOEG_2_optimum
BFW_to_EOEG_3_benifit,Boiler -- BFW System,"if((abs(([BFW_to_EOEG_3_actual]-[BFW_to_EOEG_3_optimum])*[BFW_Cost_actual]))>0.5,([BFW_to_EOEG_3_actual]-[BFW_to_EOEG_3_optimum])*[BFW_Cost_actual],0)",missing_inputs,,BFW_Cost_actual; BFW_to_EOEG_3_actual; BFW_to_EOEG_3_optimum
BLOWDOWN_CONDUCTIVITY,Boiler -- Blowdown,((BOILER_A_CONDUCTIVITY*BOILER_A_STATUS)+(BOILER_B_CONDUCTIVITY*BOILER_B_STATUS)+(BOILER_C_CONDUCTIVITY*BOILER_C_STATUS)+(BOILER_D_CONDUCTIVITY*BOILER_D_STATUS)+(BOILER_E_CONDUCTIVITY*BOILER_E_STATUS),eval_error:NameError:name 'BOILER_A_CONDUCTIVITY' is not defined,,
BLR_1_Capacity,Boiler -- Performance & Energy,150,computed,150.0,
BLR_1_HPS_Gen,Boiler -- Steam Generation,"if([BLR_1_HPS_Gen_raw]<0,0,[BLR_1_HPS_Gen_raw]/1000)",computed,60.756031,
BLR_1_HPS_Gen_Benefit,Boiler -- Steam Generation,"if((abs(([BLR_1_HPS_Gen_actual]-[BLR_1_HPS_Gen_optimum])*[HP_Steam_Enthalpy_actual]*(4.184/1000)*[HP_Steam_enthalpy_Cost_actual]))>0.5,([BLR_1_HPS_Gen_actual]-[BLR_1_HPS_Gen_optimum])*[HP_Steam_Enthal",missing_inputs,,BLR_1_HPS_Gen_actual; BLR_1_HPS_Gen_optimum; HP_Steam_Enthalpy_actual; HP_Steam_enthalpy_Cost_actual
BLR_1_HPS_Gen_Energy,Boiler -- Steam Generation,[BLR_1_HPS_Gen]*[HP_Steam_Enthalpy]*4.184/1000,pi_value,194.031616,
BLR_1_HPS_Gen_warmup,Boiler -- Steam Generation,"if([BLR_1_Status]==0,[BLR_1_HPS_Gen],0)",computed,0.0,
BLR_1_Status,Boiler -- Performance & Energy,"if([BLR_1_HPS_Gen]>=50,1,0)",computed,1.0,
BLR_2_Capacity,Boiler -- Performance & Energy,150,computed,150.0,
BLR_2_HPS_Gen,Boiler -- Steam Generation,"if([BLR_2_HPS_Gen_raw]<0,0,[BLR_2_HPS_Gen_raw]/1000)",computed,62.755242,
BLR_2_HPS_Gen_Benefit,Boiler -- Steam Generation,"if((abs(([BLR_2_HPS_Gen_actual]-[BLR_2_HPS_Gen_optimum])*[HP_Steam_Enthalpy_actual]*(4.184/1000)*[HP_Steam_enthalpy_Cost_actual]))>0.5,([BLR_2_HPS_Gen_actual]-[BLR_2_HPS_Gen_optimum])*[HP_Steam_Enthal",missing_inputs,,BLR_2_HPS_Gen_actual; BLR_2_HPS_Gen_optimum; HP_Steam_Enthalpy_actual; HP_Steam_enthalpy_Cost_actual
BLR_2_HPS_Gen_Energy,Boiler -- Steam Generation,[BLR_2_HPS_Gen]*[HP_Steam_Enthalpy]*4.184/1000,pi_value,200.416321,
BLR_2_HPS_Gen_warmup,Boiler -- Steam Generation,"if([BLR_2_Status]==0,[BLR_2_HPS_Gen],0)",computed,0.0,
BLR_2_Status,Boiler -- Performance & Energy,"if([BLR_2_HPS_Gen]>=50,1,0)",computed,1.0,
BLR_3_Capacity,Boiler -- Performance & Energy,150,computed,150.0,
BLR_3_HPS_Gen,Boiler -- Steam Generation,"if([BLR_3_HPS_Gen_raw]<0,0,[BLR_3_HPS_Gen_raw]/1000)",computed,61.148664,
BLR_3_HPS_Gen_Benefit,Boiler -- Steam Generation,"if((abs(([BLR_3_HPS_Gen_actual]-[BLR_3_HPS_Gen_optimum])*[HP_Steam_Enthalpy_actual]*(4.184/1000)*[HP_Steam_enthalpy_Cost_actual]))>0.5,([BLR_3_HPS_Gen_actual]-[BLR_3_HPS_Gen_optimum])*[HP_Steam_Enthal",missing_inputs,,BLR_3_HPS_Gen_actual; BLR_3_HPS_Gen_optimum; HP_Steam_Enthalpy_actual; HP_Steam_enthalpy_Cost_actual
BLR_3_HPS_Gen_Energy,Boiler -- Steam Generation,[BLR_3_HPS_Gen]*[HP_Steam_Enthalpy]*4.184/1000,pi_value,195.285522,
BLR_3_HPS_Gen_warmup,Boiler -- Steam Generation,"if([BLR_3_Status]==0,[BLR_3_HPS_Gen],0)",computed,0.0,
BLR_3_Status,Boiler -- Performance & Energy,"if([BLR_3_HPS_Gen]>=50,1,0)",computed,1.0,
BLR_4_Capacity,Boiler -- Performance & Energy,150,computed,150.0,
BLR_4_HPS_Gen,Boiler -- Steam Generation,"if([BLR_4_HPS_Gen_raw]<0,0,[BLR_4_HPS_Gen_raw]/1000)",computed,62.796789,
BLR_4_HPS_Gen_Benefit,Boiler -- Steam Generation,"if((abs(([BLR_4_HPS_Gen_actual]-[BLR_4_HPS_Gen_optimum])*[HP_Steam_Enthalpy_actual]*(4.184/1000)*[HP_Steam_enthalpy_Cost_actual]))>0.5,([BLR_4_HPS_Gen_actual]-[BLR_4_HPS_Gen_optimum])*[HP_Steam_Enthal",missing_inputs,,BLR_4_HPS_Gen_actual; BLR_4_HPS_Gen_optimum; HP_Steam_Enthalpy_actual; HP_Steam_enthalpy_Cost_actual
BLR_4_HPS_Gen_Energy,Boiler -- Steam Generation,[BLR_4_HPS_Gen]*[HP_Steam_Enthalpy]*4.184/1000,pi_value,200.549011,
BLR_4_HPS_Gen_warmup,Boiler -- Steam Generation,"if([BLR_4_Status]==0,[BLR_4_HPS_Gen],0)",computed,0.0,
BLR_4_Status,Boiler -- Performance & Energy,"if([BLR_4_HPS_Gen]>=50,1,0)",computed,1.0,
BLR_5_Capacity,Boiler -- Performance & Energy,150,computed,150.0,
BLR_5_HPS_Gen,Boiler -- Steam Generation,"if([BLR_5_HPS_Gen_raw]<0,0,[BLR_5_HPS_Gen_raw]/1000)",computed,65.74407,
BLR_5_HPS_Gen_Benefit,Boiler -- Steam Generation,"if((abs(([BLR_5_HPS_Gen_actual]-[BLR_5_HPS_Gen_optimum])*[HP_Steam_Enthalpy_actual]*(4.184/1000)*[HP_Steam_enthalpy_Cost_actual]))>0.5,([BLR_5_HPS_Gen_actual]-[BLR_5_HPS_Gen_optimum])*[HP_Steam_Enthal",missing_inputs,,BLR_5_HPS_Gen_actual; BLR_5_HPS_Gen_optimum; HP_Steam_Enthalpy_actual; HP_Steam_enthalpy_Cost_actual
BLR_5_HPS_Gen_Energy,Boiler -- Steam Generation,[BLR_5_HPS_Gen]*[HP_Steam_Enthalpy]*4.184/1000,pi_value,209.961502,
BLR_5_HPS_Gen_warmup,Boiler -- Steam Generation,"if([BLR_5_Status]==0,[BLR_5_HPS_Gen],0)",computed,0.0,
BLR_5_Status,Boiler -- Performance & Energy,"if([BLR_5_HPS_Gen]>=50,1,0)",computed,1.0,
BLR_Fuel_saving_potential,Boiler -- Performance & Energy,([BLR_Fuel_saving_potential_switch])*([Fuel_BLR_1_excess_o2_correction]+[Fuel_BLR_2_excess_o2_correction]+[Fuel_BLR_3_excess_o2_correction]+[Fuel_BLR_4_excess_o2_correction]+[Fuel_BLR_5_excess_o2_corr,missing_inputs,,Fuel_BLR_1_excess_o2_correction; Fuel_BLR_2_excess_o2_correction; Fuel_BLR_3_excess_o2_correction; Fuel_BLR_4_excess_o2_correction; Fuel_BLR_5_excess_o2_correction
BLR_Fuel_saving_potential_switch,Boiler -- Performance & Energy,0,computed,0.0,
BOILERS_ONLINE,Boiler -- Performance & Energy,BOILER_A_STATUS+BOILER_B_STATUS+BOILER_C_STATUS+BOILER_D_STATUS+BOILER_E_STATUS,eval_error:NameError:name 'BOILER_A_STATUS' is not defined,,
BOILER_A_ACTUAL_SP_ENERGY_DELTA,Boiler -- Performance & Energy,"if((BOILER_A_SPECIFIC_ENERGY_CONSUMPTION_IN_GJ_actual-BOILER_A_SPECIFIC_ENERGY_CONSUMPTION_IN_GJ_benchmark)<0,0,(BOILER_A_SPECIFIC_ENERGY_CONSUMPTION_IN_GJ_actual-BOILER_A_SPECIFIC_ENERGY_CONSUMPTION_",eval_error:NameError:name 'BOILER_A_SPECIFIC_ENERGY_CONSUMPTION_IN_GJ_actual' is ,,
