pi_tag,element_path,attribute_name,uom,flag_sip,sip_min_pct,sip_max_pct
UN.UO.71TC1511.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerE > HP Boiler SuperheaterA > HP Boiler DesuperheaterA,Outlet Steam Temperature,degC,,,
UN.UO.71FI1502.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerE > HP Boiler SuperheaterA > HP Boiler DesuperheaterA,Spray Water Flow,,,,
UN.UO.71FI1812.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineA,Inlet Steam Flow,t/hr,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineA,Inlet Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineA,Inlet Steam Temperature,degC,,,
UN.UO.71FI1812.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineA,Outlet Steam Flow,t/hr,,,
UN.UO.70PI0024A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineA,Outlet Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineA,Outlet Steam Temperature,degC,,,
UN.UO.71FI1813.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineB,Inlet Steam Flow,t/hr,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineB,Inlet Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineB,Inlet Steam Temperature,degC,,,
UN.UO.71FI1813.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineB,Outlet Steam Flow,t/hr,,,
UN.UO.70PI0024A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineB,Outlet Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineB,Outlet Steam Temperature,degC,,,
UN.UO.71FI1604.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineC,Inlet Steam Flow,t/hr,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineC,Inlet Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineC,Inlet Steam Temperature,degC,,,
UN.UO.71FI1604.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineC,Outlet Steam Flow,t/hr,,,
UN.UO.70PI0024A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineC,Outlet Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineC,Outlet Steam Temperature,degC,,,
UN.UO.71FI1814.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineD,Inlet Steam Flow,t/hr,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineD,Inlet Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineD,Inlet Steam Temperature,degC,,,
UN.UO.71FI1814.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineD,Outlet Steam Flow,t/hr,,,
UN.UO.70PI0024A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineD,Outlet Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineD,Outlet Steam Temperature,degC,,,
UN.UO.71FI1815.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineE,Inlet Steam Flow,t/hr,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineE,Inlet Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineE,Inlet Steam Temperature,degC,,,
UN.UO.71FI1815.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineE,Outlet Steam Flow,t/hr,,,
UN.UO.70PI0024A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineE,Outlet Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineE,Outlet Steam Temperature,degC,,,
UN.UO.72FI2007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineF,Inlet Steam Flow,t/hr,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineF,Inlet Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineF,Inlet Steam Temperature,degC,,,
UN.UO.72FI2007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineF,Outlet Steam Flow,t/hr,,,
UN.UO.70PI0024A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineF,Outlet Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineF,Outlet Steam Temperature,degC,,,
UN.UO.72FI2008.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineG,Inlet Steam Flow,t/hr,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineG,Inlet Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineG,Inlet Steam Temperature,degC,,,
UN.UO.72FI2008.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineG,Outlet Steam Flow,t/hr,,,
UN.UO.70PI0024A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineG,Outlet Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineG,Outlet Steam Temperature,degC,,,
UN.UO.71FI1108.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineH,Inlet Steam Flow,t/hr,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineH,Inlet Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineH,Inlet Steam Temperature,degC,,,
UN.UO.71FI1108.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineH,Outlet Steam Flow,t/hr,,,
UN.UO.70PI0024A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineH,Outlet Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineH,Outlet Steam Temperature,degC,,,
UN.UO.71FI1208.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineI,Inlet Steam Flow,t/hr,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineI,Inlet Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineI,Inlet Steam Temperature,degC,,,
UN.UO.71FI1208.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineI,Outlet Steam Flow,t/hr,,,
UN.UO.70PI0024A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineI,Outlet Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineI,Outlet Steam Temperature,degC,,,
UN.UO.71FI1308.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineJ,Inlet Steam Flow,t/hr,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineJ,Inlet Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineJ,Inlet Steam Temperature,degC,,,
UN.UO.71FI1308.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineJ,Outlet Steam Flow,t/hr,,,
UN.UO.70PI0024A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineJ,Outlet Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineJ,Outlet Steam Temperature,degC,,,
UN.UO.71FI1408.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineK,Inlet Steam Flow,t/hr,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineK,Inlet Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineK,Inlet Steam Temperature,degC,,,
UN.UO.71FI1408.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineK,Outlet Steam Flow,t/hr,,,
UN.UO.70PI0024A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineK,Outlet Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineK,Outlet Steam Temperature,degC,,,
UN.UO.71FI1508.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineL,Inlet Steam Flow,t/hr,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineL,Inlet Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineL,Inlet Steam Temperature,degC,,,
UN.UO.71FI1508.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineL,Outlet Steam Flow,t/hr,,,
UN.UO.70PI0024A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineL,Outlet Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineL,Outlet Steam Temperature,degC,,,
UN.UO.78FI8085.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineM,Inlet Steam Flow,t/hr,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineM,Inlet Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineM,Inlet Steam Temperature,degC,,,
UN.UO.78FI8085.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineM,Outlet Steam Flow,t/hr,,,
UN.UO.70PI0024A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineM,Outlet Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineM,Outlet Steam Temperature,degC,,,
UN.UO.78FI8086.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineN,Inlet Steam Flow,t/hr,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineN,Inlet Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineN,Inlet Steam Temperature,degC,,,
UN.UO.78FI8086.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineN,Outlet Steam Flow,t/hr,,,
UN.UO.70PI0024A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineN,Outlet Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineN,Outlet Steam Temperature,degC,,,
UN.UO.78FI8623.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineO,Inlet Steam Flow,t/hr,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineO,Inlet Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineO,Inlet Steam Temperature,degC,,,
UN.UO.78FI8623.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineO,Outlet Steam Flow,t/hr,,,
UN.UO.70PI0024A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineO,Outlet Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Backpressure Steam TurbineO,Outlet Steam Temperature,degC,,,
UN.EG1.29FI9201.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Steam ExportA,Export Steam Flow,metric_ton/h,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Steam ExportA,Export Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Steam ExportA,Export Steam Temperature,degC,,,
UN.EG2.49FI9201.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Steam ExportB,Export Steam Flow,metric_ton/h,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Steam ExportB,Export Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Steam ExportB,Export Steam Temperature,degC,,,
UN.EG3.69FI9201.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Steam ExportC,Export Steam Flow,metric_ton/h,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Steam ExportC,Export Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Steam ExportC,Export Steam Temperature,degC,,,
UN.ETH.17FC7064.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Steam ExportD,Export Steam Flow,metric_ton/h,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Steam ExportD,Export Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Steam ExportD,Export Steam Temperature,degC,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Steam VentA,Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Steam VentA,Steam Temperature,degC,,,
UN.UO.70PC0012A.MV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam ConsumersA > HP-2 Steam VentA,Vent Valve Opening,percent,,,
UN.UO.70PI0012A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam LetdownA > HP-2 to MP-2 PRDSA,Inlet Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam LetdownA > HP-2 to MP-2 PRDSA,Inlet Temperature,degC,,,
UN.UO.70PC0007A.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam LetdownA > HP-2 to MP-2 PRDSA,Outlet Pressure,bar,,,
UN.UO.70TC0005.PV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam LetdownA > HP-2 to MP-2 PRDSA,Outlet Temperature,degC,,,
UN.UO.70PC0007A.MV,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam LetdownA > HP-2 to MP-2 PRDSA,Pressure Valve Opening,percent,,,
UN.UO.73FI3025.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Backpressure Steam TurbineA,Inlet Steam Flow,t/hr,,,
UN.UO.70PI0012A.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Backpressure Steam TurbineA,Inlet Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Backpressure Steam TurbineA,Inlet Steam Temperature,degC,,,
UN.UO.73FI3025.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Backpressure Steam TurbineA,Outlet Steam Flow,t/hr,,,
UN.UO.70PI0024A.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Backpressure Steam TurbineA,Outlet Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Backpressure Steam TurbineA,Outlet Steam Temperature,degC,,,
UN.UO.73FI3026.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Backpressure Steam TurbineB,Inlet Steam Flow,t/hr,,,
UN.UO.70PI0012A.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Backpressure Steam TurbineB,Inlet Steam Pressure,bar,,,
UN.UO.70TI0007.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Backpressure Steam TurbineB,Inlet Steam Temperature,degC,,,
UN.UO.73FI3026.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Backpressure Steam TurbineB,Outlet Steam Flow,t/hr,,,
UN.UO.70PI0024A.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Backpressure Steam TurbineB,Outlet Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Backpressure Steam TurbineB,Outlet Steam Temperature,degC,,,
UN.EG1.29FI9202.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Steam ExportA,Export Steam Flow,metric_ton/h,,,
UN.UO.70PC0007A.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Steam ExportA,Export Steam Pressure,bar,,,
UN.UO.70TC0005.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Steam ExportA,Export Steam Temperature,degC,,,
UN.EG2.49FI9202.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Steam ExportB,Export Steam Flow,metric_ton/h,,,
UN.UO.70PC0007A.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Steam ExportB,Export Steam Pressure,bar,,,
UN.UO.70TC0005.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Steam ExportB,Export Steam Temperature,degC,,,
UN.EG3.69FI9208.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Steam ExportC,Export Steam Flow,metric_ton/h,,,
UN.UO.70PC0007A.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Steam ExportC,Export Steam Pressure,bar,,,
UN.UO.70TC0005.PV,Steam Network 1 > MP-2 Steam HeaderA > MP-2 Steam ConsumersA > MP-2 Steam ExportC,Export Steam Temperature,degC,,,
UN.UO.70PC0024A.MV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 Steam ExchangerA,Steam Inlet Flow,metric_ton/h,,,
UN.UO.71FI1097.PV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 DeaeratorA,Heating Steam Flow,metric_ton/h,,,
UN.UO.71FI1096.PV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 DeaeratorB,Heating Steam Flow,metric_ton/h,,,
UN.EG1.29FI9203.PV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 Steam ExportA,Export Steam Flow,metric_ton/h,,,
UN.UO.70PI0024A.PV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 Steam ExportA,Export Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 Steam ExportA,Export Steam Temperature,degC,,,
UN.EG2.49FI9203.PV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 Steam ExportB,Export Steam Flow,metric_ton/h,,,
UN.UO.70PI0024A.PV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 Steam ExportB,Export Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 Steam ExportB,Export Steam Temperature,degC,,,
UN.EG3.69FI9209.PV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 Steam ExportC,Export Steam Flow,metric_ton/h,,,
UN.UO.70PI0024A.PV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 Steam ExportC,Export Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 Steam ExportC,Export Steam Temperature,degC,,,
UN.UO.17FI7065,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 Steam ExportD,Export Steam Flow,metric_ton/h,,,
UN.UO.70PI0024A.PV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 Steam ExportD,Export Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 Steam ExportD,Export Steam Temperature,degC,,,
UN.LAO.39FI9004.PV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 Steam ExportE,Export Steam Flow,metric_ton/h,,,
UN.UO.70PI0024A.PV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 Steam ExportE,Export Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 Steam ExportE,Export Steam Temperature,degC,,,
UN.UO.70PI0024A.PV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 Steam VentA,Steam Pressure,bar,,,
UN.UO.70TI0006.PV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 Steam VentA,Steam Temperature,degC,,,
UN.UO.70PC0024B.MV,Steam Network 1 > LP-1 Steam HeaderA > LP-1 Steam ConsumersA > LP-1 Steam VentA,Vent Valve Opening,percent,,,
