,tag_name,formula_expression,Category
1132,Process_flow_of_E_4531,[Process_flow_of_E_4523],Ethylene Plant
1133,Process_flow_of_E_6620,[Process_flow_of_E_6531],Ethylene Plant
1134,Process_flow_of_PM_7103A,[BFW_A_Motor_Status]*[BFW_Flow_Consumption]/[BFW_Drives_Running],Ethylene Plant
1135,Process_flow_of_PM_7103D,[BFW_D_Motor_Status]*[BFW_Flow_Consumption]/[BFW_Drives_Running],Ethylene Plant
1136,Process_flow_of_PM_7103F,[BFW_F_Motor_Status]*[BFW_Flow_Consumption]/[BFW_Drives_Running],Ethylene Plant
1137,Process_flow_of_PT_7103B,[BFW_B_Turb_Status]*[BFW_Flow_Consumption]/[BFW_Drives_Running],Ethylene Plant
1138,Process_flow_of_PT_7103C,[BFW_C_Turb_Status]*[BFW_Flow_Consumption]/[BFW_Drives_Running],Ethylene Plant
1139,Process_flow_of_PT_7103E,[BFW_E_Turb_Status]*[BFW_Flow_Consumption]/[BFW_Drives_Running],Ethylene Plant
1140,Process_flow_of_PT_7801A,[Total_CW_Demand]/[CW_Drives_Running]*[CW_Turbine_A_Status],Ethylene Plant
1141,Process_flow_of_PT_7801B,[Total_CW_Demand]/[CW_Drives_Running]*[CW_Turbine_B_Status],Ethylene Plant
1142,Process_flow_of_PT_7801G,[Total_CW_Demand]/[CW_Drives_Running]*[CW_Turbine_G_Status],Ethylene Plant
1143,Process_flow_of_C_2310_E_2310,[Process_flow_of_E_2523],Ethylene Plant
1144,Process_flow_of_C_4310_E_4310,[Process_flow_of_E_4523],Ethylene Plant
1145,Process_flow_of_E_1102,([Process_flow_of_E_1102_1]*1.53+[Process_flow_of_E_1102_2]),Ethylene Plant
1146,BOILER_A_CBD_Adjusted,"if((([BOILER_A_CBD]>0.012*[BLR_1_HPS_Gen]*1000) && ([BOILER_A_CONDUCTIVITY]<130) && ([BOILER_A_PH_ANALYZER]>9 && [BOILER_A_PH_ANALYZER]<11)),0.01*[BLR_1_HPS_Gen]*1000,[BOILER_A_CBD])",KEV/Adjusted Variant
1147,BOILER_B_CBD_Adjusted,"if((([BOILER_B_CBD]>0.012*[BLR_2_HPS_Gen]*1000) && ([BOILER_B_CONDUCTIVITY]<130) && ([BOILER_B_PH_ANALYZER]>9&&[BOILER_B_PH_ANALYZER]<11)),0.01*[BLR_2_HPS_Gen]*1000,[BOILER_B_CBD])",KEV/Adjusted Variant
1148,BOILER_C_CBD_Adjusted,"if((([BOILER_C_CBD]>0.012*[BLR_3_HPS_Gen]*1000) && ([BOILER_C_CONDUCTIVITY]<130) && ([BOILER_C_PH_ANALYZER]>9&&[BOILER_C_PH_ANALYZER]<11)),0.01*[BLR_3_HPS_Gen]*1000,[BOILER_C_CBD])",KEV/Adjusted Variant
1149,BOILER_D_CBD_Adjusted,"if((([BOILER_D_CBD]>0.012*[BLR_4_HPS_Gen]*1000)&&([BOILER_D_CONDUCTIVITY]<130) &&([BOILER_D_PH_ANALYZER]>9&&[BOILER_D_PH_ANALYZER]<11)),0.01*[BLR_4_HPS_Gen]*1000,[BOILER_D_CBD])",KEV/Adjusted Variant
1150,BOILER_E_CBD_Adjusted,"if((([BOILER_E_CBD]>0.012*[BLR_5_HPS_Gen]*1000)&&([BOILER_E_CONDUCTIVITY]<130) && ([BOILER_E_PH_ANALYZER]>9&&[BOILER_E_PH_ANALYZER]<11)),0.01*[BLR_5_HPS_Gen]*1000,[BOILER_E_CBD])",KEV/Adjusted Variant
1151,Air_vent_upper_bound,10,Boiler -- Air System
1152,CW_Turbine_A_Steam_raw,[CW_Turbine_A_Steam],Steam Turbine
1153,CW_Turbine_B_Steam_raw,[CW_Turbine_B_Steam],Steam Turbine
1154,CW_Turbine_G_Steam_raw,[CW_Turbine_G_Steam],Steam Turbine
1155,CW_Circuit_1_delta_Temp,[CWS_Return_Temperature]-[CW_Circuit_1_return_temp],Cooling Water
1156,CW_Circuit_1_cooling_duty,[Total_CW_Demand]*4.184*[CW_Circuit_1_delta_Temp]/(3.6*1000),Cooling Water
1157,CW_Circuit_2_delta_Temp,[CW_Circuit_2_return_temp]-[CW_Circuit_2_supply_temp],Cooling Water
1158,CW_Circuit_2_cooling_duty,[CW_Demand_Header_2]*4.184*[CW_Circuit_2_delta_Temp]/(3.6*1000),Cooling Water
1159,Total_plant_cooling_duty,[CW_Circuit_1_cooling_duty]+[CW_Circuit_2_cooling_duty],Energy KPI / Imbalance
1160,Sea_CW_delta_Temp,[Sea_water_return_temp]-[Sea_water_supply_2_temp],Sea Water
1161,Sea_CW_Flow,[Total_plant_cooling_duty]*(1000*3.6)/([Sea_CW_delta_Temp]*4.184),Sea Water
1162,AIR_COMPRESSOR_A_Vent_flow_benifit,"if((abs(([AIR_COMPRESSOR_A_Vent_flow_actual]-[AIR_COMPRESSOR_A_Vent_flow_optimum])*[Air_KPI_doller_actual]))>0.5,([AIR_COMPRESSOR_A_Vent_flow_actual]-[AIR_COMPRESSOR_A_Vent_flow_optimum])*[Air_KPI_doller_actual],0)",Plant / Instrument Air
1163,AIR_COMPRESSOR_B_Vent_flow_benifit,"if((abs(([AIR_COMPRESSOR_B_Vent_flow_actual]-[AIR_COMPRESSOR_B_Vent_flow_optimum])*[Air_KPI_doller_actual]))>0.5,([AIR_COMPRESSOR_B_Vent_flow_actual]-[AIR_COMPRESSOR_B_Vent_flow_optimum])*[Air_KPI_doller_actual],0)",Plant / Instrument Air
1164,AIR_COMPRESSOR_C_Vent_flow_benifit,"if((abs(([AIR_COMPRESSOR_C_Vent_flow_actual]-[AIR_COMPRESSOR_C_Vent_flow_optimum])*[Air_KPI_doller_actual]))>0.5,([AIR_COMPRESSOR_C_Vent_flow_actual]-[AIR_COMPRESSOR_C_Vent_flow_optimum])*[Air_KPI_doller_actual],0)",Plant / Instrument Air
1165,AIR_COMPRESSOR_D_Vent_flow_benifit,"if((abs(([AIR_COMPRESSOR_D_Vent_flow_actual]-[AIR_COMPRESSOR_D_Vent_flow_optimum])*[Air_KPI_doller_actual]))>0.5,([AIR_COMPRESSOR_D_Vent_flow_actual]-[AIR_COMPRESSOR_D_Vent_flow_optimum])*[Air_KPI_doller_actual],0)",Plant / Instrument Air
1166,Spec_En_Cons_BLR_1_dev,"if([BLR_1_Status]==0,0,([Spec_En_Cons_BLR_1_Opt]-[Spec_En_Cons_BLR_1])/[Spec_En_Cons_BLR_1_Opt])",Specific Energy Consumption
1167,Spec_En_Cons_BLR_2_dev,"if([BLR_2_Status]==0,0,([Spec_En_Cons_BLR_2_Opt]-[Spec_En_Cons_BLR_2])/[Spec_En_Cons_BLR_2_Opt])",Specific Energy Consumption
1168,Spec_En_Cons_BLR_3_dev,"if([BLR_3_Status]==0,0,([Spec_En_Cons_BLR_3_Opt]-[Spec_En_Cons_BLR_3])/[Spec_En_Cons_BLR_3_Opt])",Specific Energy Consumption
1169,Spec_En_Cons_BLR_4_dev,"if([BLR_4_Status]==0,0,([Spec_En_Cons_BLR_4_Opt]-[Spec_En_Cons_BLR_4])/[Spec_En_Cons_BLR_4_Opt])",Specific Energy Consumption
1170,Spec_En_Cons_BLR_5_dev,"if([BLR_5_Status]==0,0,([Spec_En_Cons_BLR_5_Opt]-[Spec_En_Cons_BLR_5])/[Spec_En_Cons_BLR_5_Opt])",Specific Energy Consumption
1171,MW_Ratio,0.82657517199999997,Component Properties (LHV/MW)
1172,EG1_temp_ratio,"if([EOEG1_Plant_Status]==0,0,([KM_2115_Dis_Temp]+273)/([EG1_K_2115_suc_temp]+273))",EG1 Plant
1173,EG1_pr_ratio,"if([EOEG1_Plant_Status]==0,0,([KM_2115_Dis_Pressure]*100+101.32)/([KM_2115_suc_Pressure]*100+101.32))",EG1 Plant
1174,EG1_avg_temp,"if([EOEG1_Plant_Status]==0,0,(([EG1_K_2115_suc_temp]+273+[KM_2115_Dis_Temp]+273)/2))",EG1 Plant
1175,K_Eq,1.2987,Boiler -- Air System
1176,EG1_Comp_eff,"if([EOEG1_Plant_Status]==1,((([K_Eq]-1)/[K_Eq])*(ln([EG1_pr_ratio])/ln([EG1_temp_ratio]))*100),0)",EG1 Plant
1177,EG2_temp_ratio,"if([EOEG2_Plant_Status]==0,0,(([KM_4115_Dis_Temp]+273)/([EG2_K_4115_suc_temp]+273)))",EG2 Plant
1178,EG2_pr_ratio,"if([EOEG2_Plant_Status]==0,0,(([KM_4115_Dis_Pressure]*100+101.32)/([EG2_K_4115_suc_presssure]*100+101.32)))",EG2 Plant
1179,EG2_avg_temp,"if([EOEG2_Plant_Status]==0,0,(([EG2_K_4115_suc_temp]+273+[KM_4115_Dis_Temp]+273)/2))",EG2 Plant
1180,EG2_Comp_eff,"if([EOEG2_Plant_Status]==1,((([K_Eq]-1)/[K_Eq])*(ln([EG2_pr_ratio])/ln([EG2_temp_ratio]))*100),0)",EG2 Plant
1181,EG3_temp_ratio,"if([EOEG3_Plant_Status]==0,0,(([EG3_K_6115_Dis_temp]+273)/([EG3_K_6115_suc_temp]+273)))",EG3 Plant
1182,EG3_pr_ratio,"if([EOEG3_Plant_Status]==0,0,(([EG3_K_6115_Dis_presssure]*100+101.32)/([KM_6115_suc_Pressure]*100+101.32)))",EG3 Plant
1183,EG3_avg_temp,"if([EOEG3_Plant_Status]==0,0,(([EG3_K_6115_suc_temp]+273+[EG3_K_6115_Dis_temp]+273)/2))",EG3 Plant
1184,EG3_Comp_eff,"if([EOEG3_Plant_Status]==1,((([K_Eq]-1)/[K_Eq])*(ln([EG3_pr_ratio])/ln([EG3_temp_ratio]))*100),0)",EG3 Plant
1185,Closed_circuit_CW_chem_Cost,(([CW_Makeup_1]/1000+[CW_Makeup_2])*(0.06300+0.0037747162)*(1/3.75)),Cost & Economics
1186,Deaerator_LPS,[Deaerator_A_LPS]+[Deaerator_B_LPS],Deaerator
1187,Deaerator_A_LPS_percent,[Deaerator_A_LPS]/[Deaerator_LPS],Deaerator
1188,Deaerator_B_LPS_percent,[Deaerator_B_LPS]/[Deaerator_LPS],Deaerator
1189,SEU_Enable,1,Plant Status & Availability
1190,FUEL_GAS_From_UO_to_LAO_delta,"if([LAO_Plant_Status]==0,0,if(([FUEL_GAS_From_UO_to_LAO]-[FUEL_GAS_From_UO_to_LAO_Opt]>0.2),[FUEL_GAS_From_UO_to_LAO]-[FUEL_GAS_From_UO_to_LAO_Opt],0))*0",Boiler -- Combustion & Fuel
1191,FUEL_GAS_From_UO_to_ETH_delta,"if(missing(if([ETH_Plant_Status]==0,0,(([FUEL_GAS_From_UO_to_ETH]/[Total_Furnace_fuel])*([Total_Furnace_fuel]-[Total_Furnace_fuel_min])))),0,if([ETH_Plant_Status]==0,0,(([FUEL_GAS_From_UO_to_ETH]/[Total_Furnace_fuel])*([Total_Furnace_fuel]-[Total_Furnace_fuel_min]))))",Boiler -- Combustion & Fuel
1192,MEG_Column_Critical_Tray_EG1_Adjusted,"min([MEG_Column_Critical_Tray_EG1],[MEG_Column_Critical_Tray_EG1_peeo])",KEV/Adjusted Variant
1193,Drying_Column_Critical_Tray_EG1_Adjusted,"min([Drying_Column_Critical_Tray_EG1],[Drying_Column_Critical_Tray_EG1_peeo])",KEV/Adjusted Variant
1194,MEG_Column_Critical_Tray_EG2_Adjusted,"min([MEG_Column_Critical_Tray_EG2],[MEG_Column_Critical_Tray_EG2_peeo])",KEV/Adjusted Variant
1195,Drying_Column_Critical_Tray_EG2_Adjusted,"min([Drying_Column_Critical_Tray_EG2],[Drying_Column_Critical_Tray_EG2_peeo])",KEV/Adjusted Variant
1196,MEG_Column_Critical_Tray_EG3_Adjusted,"min([MEG_Column_Critical_Tray_EG3],[MEG_Column_Critical_Tray_EG3_peeo])",KEV/Adjusted Variant
1197,EOEG_1_MPS_Demand_delta_Adjusted,"if(missing([EOEG_1_MPS_Demand_delta]),0,[EOEG_1_MPS_Demand_delta])",KEV/Adjusted Variant
1198,EOEG_1_LPS_Demand_delta_Adjusted,"if(missing([EOEG_1_LPS_Demand_delta]),0,[EOEG_1_LPS_Demand_delta])",KEV/Adjusted Variant
1199,EOEG_2_MPS_Demand_delta_Adjusted,"if(missing([EOEG_2_MPS_Demand_delta]),0,[EOEG_2_MPS_Demand_delta])",KEV/Adjusted Variant
1200,EOEG_2_LPS_Demand_delta_Adjusted,"if(missing([EOEG_2_LPS_Demand_delta]),0,[EOEG_2_LPS_Demand_delta])",KEV/Adjusted Variant
1201,EOEG_3_MPS_Demand_delta_Adjusted,"if(missing([EOEG_3_MPS_Demand_delta]),0,[EOEG_3_MPS_Demand_delta])",KEV/Adjusted Variant
1202,EOEG_3_LPS_Demand_delta_Adjusted,"if(missing([EOEG_3_LPS_Demand_delta]),0,[EOEG_3_LPS_Demand_delta])",KEV/Adjusted Variant
1203,Total_Benifit,[Total_Energy_Bill_actual]-[Total_Energy_Bill_optimum],Energy KPI / Imbalance
1204,Whatif_running,0,What-if Scenario
1205,ASCV_Optimum_Opening,"if(-0.0016*[CO2_Sale_flow]+61.883<0,0,-0.0016*[CO2_Sale_flow]+61.883)*[PK_5070_status]",Optimization Output
1206,ASCV_Opening_Margin,"if([ASCV_Opening]-[ASCV_Optimum_Opening]>5,[ASCV_Opening]-[ASCV_Optimum_Opening],0)",Energy KPI / Imbalance
1207,K_5071_Flow_Reduction,[ASCV_Opening_Margin]*602.57,C2R / C3R Refrigeration
1208,K_5071_Actual_Power,(-0.0000009*[K_5071_Dis_Flow]*[K_5071_Dis_Flow]+0.1129*[K_5071_Dis_Flow]-2016.4)/1000,C2R / C3R Refrigeration
1209,opportunity_from_seus,"if((abs([Contribution_from_SEUs_actual]-[Contribution_from_SEUs_optimum]))>0.5,([Contribution_from_SEUs_actual]-[Contribution_from_SEUs_optimum]),0)",Cost & Economics
1210,Sea_water_makeup_CW,([Seawater_Blowdown_from_CT_7801]+[Seawater_Blowdown_from_CT_7802]),Sea Water
1211,Sea_water_cost,(0.06+0.0075)*[Sea_water_makeup_CW]*(1/3.75),Sea Water
1212,Clean_suspect_return_cond,[ETH_CLEAN_COND_TO_U_O]+[EG1_CLEAN_COND_TO_U_O]+[EG2_CLEAN_COND_TO_U_O]+[EG3_CLEAN_COND_TO_U_O]+[ETH_suspect_COND_TO_U_O]+[EG1_suspect_COND_TO_U_O]+[EG2_suspect_COND_TO_U_O]+[EG3_suspect_COND_TO_U_O],Condensate System
1213,BOILER_A_FLUE_GAS_OXGYGEN_Adjusted,"if([BOILER_A_FLUE_GAS_OXGYGEN]-[BOILER_A_FLUE_GAS_OXGYGEN_peeo]>100,[BOILER_A_FLUE_GAS_OXGYGEN_peeo],[BOILER_A_FLUE_GAS_OXGYGEN])",KEV/Adjusted Variant
1214,BOILER_B_FLUE_GAS_OXGYGEN_Adjusted,"if([BOILER_B_FLUE_GAS_OXGYGEN]-[BOILER_B_FLUE_GAS_OXGYGEN_peeo]>100,[BOILER_B_FLUE_GAS_OXGYGEN_peeo],[BOILER_B_FLUE_GAS_OXGYGEN])",KEV/Adjusted Variant
1215,BOILER_C_FLUE_GAS_OXGYGEN_Adjusted,"if([BOILER_C_FLUE_GAS_OXGYGEN]-[BOILER_C_FLUE_GAS_OXGYGEN_peeo]>100,[BOILER_C_FLUE_GAS_OXGYGEN_peeo],[BOILER_C_FLUE_GAS_OXGYGEN])",KEV/Adjusted Variant
1216,BOILER_D_FLUE_GAS_OXGYGEN_Adjusted,"if([BOILER_D_FLUE_GAS_OXGYGEN]-[BOILER_D_FLUE_GAS_OXGYGEN_peeo]>100,[BOILER_D_FLUE_GAS_OXGYGEN_peeo],[BOILER_D_FLUE_GAS_OXGYGEN])",KEV/Adjusted Variant
1217,BOILER_E_FLUE_GAS_OXGYGEN_Adjusted,[BOILER_E_FLUE_GAS_OXGYGEN_peeo],KEV/Adjusted Variant
1218,K_5021_Dis_Flow,[CO2_Load_raw],C2R / C3R Refrigeration
1219,Optium_Temp_Ratio_5021,(-0.0037)*[K_5021_suc_temp]+1.3952,C2R / C3R Refrigeration
1220,Presssure_Ratio_5021,[K_5021_Dis_pressure]/[K_5021_suc_pressure],C2R / C3R Refrigeration
1221,Temp_Ratio_5021,([K_5021_Dis_temp]+273)/([K_5021_suc_temp]+273),C2R / C3R Refrigeration
1222,Short_Eff_5021,"if([PK_5020_status]==1,ln([Presssure_Ratio_5021])/ln([Temp_Ratio_5021]),0)",C2R / C3R Refrigeration
1223,scaled_eff_5021,78*[Short_Eff_5021]/30.92,C2R / C3R Refrigeration
1224,Optimum_Eff_5021,390.255922864159+([Optium_Temp_Ratio_5021]*(-261.249053327171)+0.0149913576886305*[Presssure_Ratio_5021]),C2R / C3R Refrigeration
1225,Theoritical_Power_Consumption_5021,"if([K_5021_Dis_Flow]>55000,-0.000005*[K_5021_Dis_Flow]*[K_5021_Dis_Flow]+0.5781*[K_5021_Dis_Flow]-13201,-0.000009*[K_5021_Dis_Flow]*[K_5021_Dis_Flow]+0.9659*[K_5021_Dis_Flow]-21778)",Power & Electrical
1226,Actual_Power_Consumption_5021,[Theoritical_Power_Consumption_5021]*(1+0.78-[Optimum_Eff_5021]/100)/1000,Power & Electrical
1227,K_5071_Actual_Power_Adjusted,(-0.0000009*([K_5071_Dis_Flow]-[K_5071_Flow_Reduction])^2+0.1129*([K_5071_Dis_Flow]-[K_5071_Flow_Reduction])-2016.4)/1000*[PK_5070_status],KEV/Adjusted Variant
1228,Actual_Power_Consumption_5021_Adjusted,[Actual_Power_Consumption_5021]*(1-([Optimum_Eff_5021]-[scaled_eff_5021])/100)*[PK_5020_status],KEV/Adjusted Variant
1229,Total_Plant_Bill,[Total_Energy_Bill]+[Fuel_Consumption_Plants]*[LHV]*[Fuel_Rate]+[Power_Consumption_Plants]*3.6*[Power_Rate],Cost & Economics
1230,Objective_2,([Total_Power_for_Drives]+[Power_Consumption_Plant_U_O])*3.6*[Power_Rate]+([Total_Fuel_for_Boilers]+[Fuel_Consumption_Plants_U_O])*([LHV])*[Fuel_Rate]+[DMW_Makeup]*[DMW_Rate],Optimization Output
1231,LP_Steam_From_Condensate_Drum,[Total_BLR_HPS_Generation]*0.01*0.21,Steam Turbine
1232,Eth_LHV_GJ_T,[Eth_LHV]*4.184/1000,Component Properties (LHV/MW)
1233,Process_flow_of_E_2523_Adjusted,[Process_flow_of_E_2523_peeo],KEV/Adjusted Variant
1234,Process_flow_of_E_2610_Adjusted,[Process_flow_of_E_2610_peeo],KEV/Adjusted Variant
1235,Process_flow_of_E_2620_Adjusted,[Process_flow_of_E_2620_peeo],KEV/Adjusted Variant
1236,Process_flow_of_E_4523_Adjusted,[Process_flow_of_E_4523_peeo],KEV/Adjusted Variant
1237,Process_flow_of_E_4610_Adjusted,[Process_flow_of_E_4610_peeo],KEV/Adjusted Variant
1238,Process_flow_of_E_4620_Adjusted,[Process_flow_of_E_4620_peeo],KEV/Adjusted Variant
1239,Process_flow_of_E_6531_Adjusted,[Process_flow_of_E_6531_peeo],KEV/Adjusted Variant
1240,Process_flow_of_C_2220_E_2220_Adjusted,[Process_flow_of_C_2220_E_2220_peeo],KEV/Adjusted Variant
1241,Process_flow_of_C_4220_E_4220_Adjusted,[Process_flow_of_C_4220_E_4220_peeo],KEV/Adjusted Variant
1242,Process_flow_of_E_6220_Adjusted,[Process_flow_of_E_6220_peeo],KEV/Adjusted Variant
1243,act_running,1,Plant Status & Availability
1244,Lhv_H2_Hydrogen,120.004,Component Properties (LHV/MW)
1245,Lhv_Ch4_Methane,50.026000000000003,Component Properties (LHV/MW)
1246,Lhv_N2_Nitrogen,0,Component Properties (LHV/MW)
1247,Lhv_C2H4_Ethylene,47.177999999999997,Component Properties (LHV/MW)
1248,Lhv_C2H6_Ethane,47.497,Component Properties (LHV/MW)
1249,Lhv_C3H8_Propane,46.362000000000002,Component Properties (LHV/MW)
1250,Lhv_Ic4,45.613,Component Properties (LHV/MW)
1251,Lhv_Nc4,45.75,Component Properties (LHV/MW)
1252,Lhv_Nc5,45.36,Component Properties (LHV/MW)
1253,Lhv_Ic5,45.241,Component Properties (LHV/MW)
1254,Component_Hydrogen_Mw,2.016,Component Properties (LHV/MW)
1255,Component_Methane_Mw,16.04,Component Properties (LHV/MW)
1256,Component_Ethylene_Mw,28.050999999999998,Component Properties (LHV/MW)
1257,Component_Ethane_Mw,30.07,Component Properties (LHV/MW)
1258,Component_Propane_Mw,44.09,Component Properties (LHV/MW)
1259,Component_Butane_Mw,58.12,Component Properties (LHV/MW)
1260,Component_Pentane_Mw,72.150000000000006,Component Properties (LHV/MW)
1261,Component_Nitrogen_Mw,28.015999999999998,Component Properties (LHV/MW)
1262,Boiler_A_Air_Cp_Ref_T,6.96,Boiler -- Performance & Energy
1263,Boiler_B_Air_Cp_Ref_T,6.96,Boiler -- Performance & Energy
1264,Boiler_C_Air_Cp_Ref_T,6.96,Boiler -- Performance & Energy
1265,Boiler_D_Air_Cp_Ref_T,6.96,Boiler -- Performance & Energy
1266,Boiler_E_Air_Cp_Ref_T,6.96,Boiler -- Performance & Energy
1267,Boiler_B_Cp_Of_H2O_At_Stack_Temperature,(8.22+0.00015*([BOILER_B_STACK_TEMPERATURE]+273.15)+0.00000134*(([BOILER_B_STACK_TEMPERATURE]+273.15)^2))/18.015,Boiler -- Flue Gas & Stack
1268,Relative_Humidity_Clean,"if(abs([Relative_Humidity])<1&&abs([Relative_Humidity])>0,abs([Relative_Humidity]),0.6)",Plant Status & Availability
1269,Boiler_A_Boiler_Load,[BLR_1_HPS_Gen],Boiler -- Performance & Energy
1270,Boiler_A_Status,[BLR_1_Status],Boiler -- Performance & Energy
1271,Arrazi_Plant_Load_1,"if(missing([Arrazi_Plant_Load]),0,[Arrazi_Plant_Load])",Plant Status & Availability
1272,Arrazi_Plant_Status,"if([Arrazi_Plant_Load_1]<70,0,1)",Plant Status & Availability
1273,Boiler_Fg_N2_Concentration,"if([Arrazi_Plant_Status]==1,[BOILER_FG_N2_CONCENTRATION_ARRAZI],10.236)",Boiler -- Combustion & Fuel
1274,Boiler_Fg_Ch4_Concentration,"if([Arrazi_Plant_Status]==1,[BOILER_FG_CH4_CONCENTRATION_ARRAZI],87.548)",Boiler -- Combustion & Fuel
1275,Boiler_Fg_Ethane_Concentration,"if([Arrazi_Plant_Status]==1,[BOILER_FG_ETHANE_CONCENTRATION_ARRAZI],1.569)",Boiler -- Combustion & Fuel
1276,Boiler_Fg_Propane_Concentration,"if([Arrazi_Plant_Status]==1,[BOILER_FG_PROPANE_CONCENTRATION_ARRAZI],0.343)",Boiler -- Combustion & Fuel
1277,Boiler_Fg_Nc4_Concentration,"if([Arrazi_Plant_Status]==1,[BOILER_FG_NC4_CONCENTRATION_ARRAZI],0.115)",Boiler -- Combustion & Fuel
1278,Boiler_Fg_Ic4_Concentration,"if([Arrazi_Plant_Status]==1,[BOILER_FG_IC4_CONCENTRATION_ARRAZI],0.097)",Boiler -- Combustion & Fuel
1279,Boiler_Fg_Nc5_Concentration,"if([Arrazi_Plant_Status]==1,[BOILER_FG_NC5_CONCENTRATION_ARRAZI],0.001)",Boiler -- Combustion & Fuel
1280,Boiler_Fg_Ic5_Concentration,"if([Arrazi_Plant_Status]==1,[BOILER_FG_IC5_CONCENTRATION_ARRAZI],0.033)",Boiler -- Combustion & Fuel
1281,Boiler_Fg_Hydrogen_Concentration,"if([Arrazi_Plant_Status]==1,0,0)",Boiler -- Combustion & Fuel
1282,Boiler_A_Fuel_Composition_Total,([Boiler_Fg_Hydrogen_Concentration]+[Boiler_Fg_Ch4_Concentration]+[Boiler_Fg_Ethane_Concentration]+[Boiler_Fg_Ethylene_Concentration]+[Boiler_Fg_Propane_Concentration]+[Boiler_Fg_Nc4_Concentration]+[Boiler_Fg_Ic4_Concentration]+[Boiler_Fg_Nc5_Concentration]+[Boiler_Fg_Ic5_Concentration]+[Boiler_Fg_N2_Concentration]),Boiler -- Performance & Energy
1283,Normalized_Boiler_A_Fg_Ch4_Concentration,[Boiler_Fg_Ch4_Concentration]/[Boiler_A_Fuel_Composition_Total]*100,Normalized Variant
1284,Normalized_Boiler_A_Fg_Ethane_Concentration,100*([Boiler_Fg_Ethane_Concentration]/[Boiler_A_Fuel_Composition_Total]),Normalized Variant
1285,Normalized_Boiler_A_Fg_Ethylene_Concentration,([Boiler_Fg_Ethylene_Concentration]/[Boiler_A_Fuel_Composition_Total])*100,Normalized Variant
1286,Normalized_Boiler_A_Fg_Propane_Concentration,100*([Boiler_Fg_Propane_Concentration]/[Boiler_A_Fuel_Composition_Total]),Normalized Variant
1287,Normalized_Boiler_A_Fg_Ic4_Concentration,100*([Boiler_Fg_Ic4_Concentration]/[Boiler_A_Fuel_Composition_Total]),Normalized Variant
1288,Normalized_Boiler_A_Fg_Nc4_Concentration,100*([Boiler_Fg_Nc4_Concentration]/[Boiler_A_Fuel_Composition_Total]),Normalized Variant
1289,Normalized_Boiler_A_Fg_Nc5_Concentration,100*([Boiler_Fg_Nc5_Concentration]/[Boiler_A_Fuel_Composition_Total]),Normalized Variant
1290,Normalized_Boiler_A_Fg_Ic5_Concentration,100*([Boiler_Fg_Ic5_Concentration]/[Boiler_A_Fuel_Composition_Total]),Normalized Variant
1291,Normalized_Boiler_A_Fg_N2_Concentration,[Boiler_Fg_N2_Concentration]/[Boiler_A_Fuel_Composition_Total]*100,Normalized Variant
1292,Normalized_Boiler_A_Fg_Hydrogen_Concentration,100*([Boiler_Fg_Hydrogen_Concentration]/[Boiler_A_Fuel_Composition_Total]),Normalized Variant
1293,Boiler_A_Fg_Mw,([Normalized_Boiler_A_Fg_Hydrogen_Concentration]*[Component_Hydrogen_Mw]+[Normalized_Boiler_A_Fg_Ch4_Concentration]*[Component_Methane_Mw]+[Normalized_Boiler_A_Fg_Ethane_Concentration]*[Component_Ethane_Mw]+[Normalized_Boiler_A_Fg_Ethylene_Concentration]*[Component_Ethylene_Mw]+[Normalized_Boiler_A_Fg_Propane_Concentration]*[Component_Propane_Mw]+[Normalized_Boiler_A_Fg_Nc4_Concentration]*[Component_Butane_Mw]+[Normalized_Boiler_A_Fg_Ic4_Concentration]*[Component_Butane_Mw]+[Normalized_Boiler_A_Fg_Nc5_Concentration]*[Component_Pentane_Mw]+[Normalized_Boiler_A_Fg_Ic5_Concentration]*[Component_Pentane_Mw]+[Normalized_Boiler_A_Fg_N2_Concentration]*[Component_Nitrogen_Mw])/100,Component Properties (LHV/MW)
1294,Boiler_A_Fg_Ch4_Mass_Percentage,[Normalized_Boiler_A_Fg_Ch4_Concentration]*[Component_Methane_Mw]/[Boiler_A_Fg_Mw],Boiler -- Combustion & Fuel
1295,Boiler_A_Fg_Ethane_Mass_Percentage,[Normalized_Boiler_A_Fg_Ethane_Concentration]*[Component_Ethane_Mw]/[Boiler_A_Fg_Mw],Boiler -- Combustion & Fuel
1296,Boiler_A_Fg_Ethylene_Mass_Percentage,[Normalized_Boiler_A_Fg_Ethylene_Concentration]*[Component_Ethylene_Mw]/[Boiler_A_Fg_Mw],Boiler -- Combustion & Fuel
1297,Boiler_A_Fg_Propane_Mass_Percentage,[Normalized_Boiler_A_Fg_Propane_Concentration]*[Component_Propane_Mw]/[Boiler_A_Fg_Mw],Boiler -- Combustion & Fuel
1298,Boiler_A_Fg_Nitrogen_Mass_Percentage,[Normalized_Boiler_A_Fg_N2_Concentration]*[Component_Nitrogen_Mw]/[Boiler_A_Fg_Mw],Boiler -- Combustion & Fuel
1299,Boiler_A_Fg_Hydrogen_Mass_Percentage,[Normalized_Boiler_A_Fg_Hydrogen_Concentration]*[Component_Hydrogen_Mw]/[Boiler_A_Fg_Mw],Boiler -- Combustion & Fuel
1300,Boiler_A_Fg_Ic4_Mass_Percentage,[Normalized_Boiler_A_Fg_Ic4_Concentration]*[Component_Butane_Mw]/[Boiler_A_Fg_Mw],Boiler -- Combustion & Fuel
