short_name,network,plant,group,element_type,instance,pi_tag_base,status_tag,status_value,is_on,element_path
EG2 Live Steam InjectionB,Specific Energy Consumers,EG2 [EG2],Steam Energy,EG2 Live Steam Injection,B,EG2.EG2.LSI-102,EG2_Stripping_status,0.0,False,United > Specific Energy Consumers > EG2 [EG2] > Steam Energy > EG2 Live Steam InjectionB
EG2 ReboilerA,Specific Energy Consumers,EG2 [EG2],Steam Energy,EG2 Reboiler,A,EG2.EG2.REB-101,EG2_Stripping_status,0.0,False,United > Specific Energy Consumers > EG2 [EG2] > Steam Energy > EG2 ReboilerA
EG2 ReboilerB,Specific Energy Consumers,EG2 [EG2],Steam Energy,EG2 Reboiler,B,EG2.EG2.REB-102,EG2_Stripping_status,0.0,False,United > Specific Energy Consumers > EG2 [EG2] > Steam Energy > EG2 ReboilerB
EG2 ReboilerC,Specific Energy Consumers,EG2 [EG2],Steam Energy,EG2 Reboiler,C,EG2.EG2.REB-103,EG2_Stripping_status,0.0,False,United > Specific Energy Consumers > EG2 [EG2] > Steam Energy > EG2 ReboilerC
EG2 Steam ExchangerA,Specific Energy Consumers,EG2 [EG2],Steam Energy,EG2 Steam Exchanger,A,EG2.EG2.SHX-101,E_4531_Status,0.0,False,United > Specific Energy Consumers > EG2 [EG2] > Steam Energy > EG2 Steam ExchangerA
EG3 CompressorA,Specific Energy Consumers,EG3 [EG3],Electric Energy,EG3 Compressor,A,EG3.EG3.COMP-101,KM_6115_Status,1.0,True,United > Specific Energy Consumers > EG3 [EG3] > Electric Energy > EG3 CompressorA
EG3 ReboilerA,Specific Energy Consumers,EG3 [EG3],Steam Energy,EG3 Reboiler,A,EG3.EG3.REB-101,EOEG3_Plant_Status,1.0,True,United > Specific Energy Consumers > EG3 [EG3] > Steam Energy > EG3 ReboilerA
EG3 ReboilerB,Specific Energy Consumers,EG3 [EG3],Steam Energy,EG3 Reboiler,B,EG3.EG3.REB-102,EOEG3_Plant_Status,1.0,True,United > Specific Energy Consumers > EG3 [EG3] > Steam Energy > EG3 ReboilerB
EG3 ReboilerC,Specific Energy Consumers,EG3 [EG3],Steam Energy,EG3 Reboiler,C,EG3.EG3.REB-103,EOEG3_Plant_Status,1.0,True,United > Specific Energy Consumers > EG3 [EG3] > Steam Energy > EG3 ReboilerC
LAO Feed PreheaterA,Specific Energy Consumers,LAO [LAO],Fuel Energy,LAO Feed Preheater,A,LAO.LAO.FPH-101,LAO_Plant_Status,1.0,True,United > Specific Energy Consumers > LAO [LAO] > Fuel Energy > LAO Feed PreheaterA
UTI BoilerA,Specific Energy Consumers,Utility Unit [UTI],Fuel Energy,UTI Boiler,A,UTIL.UTI.BLR-101,Boiler_A_Status,1.0,True,United > Specific Energy Consumers > Utility Unit [UTI] > Fuel Energy > UTI BoilerA
UTI BoilerB,Specific Energy Consumers,Utility Unit [UTI],Fuel Energy,UTI Boiler,B,UTIL.UTI.BLR-102,Boiler_B_Status,1.0,True,United > Specific Energy Consumers > Utility Unit [UTI] > Fuel Energy > UTI BoilerB
UTI BoilerC,Specific Energy Consumers,Utility Unit [UTI],Fuel Energy,UTI Boiler,C,UTIL.UTI.BLR-103,Boiler_C_Status,1.0,True,United > Specific Energy Consumers > Utility Unit [UTI] > Fuel Energy > UTI BoilerC
UTI BoilerD,Specific Energy Consumers,Utility Unit [UTI],Fuel Energy,UTI Boiler,D,UTIL.UTI.BLR-104,Boiler_D_Status,1.0,True,United > Specific Energy Consumers > Utility Unit [UTI] > Fuel Energy > UTI BoilerD
UTI BoilerE,Specific Energy Consumers,Utility Unit [UTI],Fuel Energy,UTI Boiler,E,UTIL.UTI.BLR-105,Boiler_E_Status,1.0,True,United > Specific Energy Consumers > Utility Unit [UTI] > Fuel Energy > UTI BoilerE
UTI PumpA,Specific Energy Consumers,Utility Unit [UTI],Electric Energy,UTI Pump,A,UTIL.UTI.PMP-101,BFW_A_Motor_Status,0.0,False,United > Specific Energy Consumers > Utility Unit [UTI] > Electric Energy > UTI PumpA
UTI PumpB,Specific Energy Consumers,Utility Unit [UTI],Electric Energy,UTI Pump,B,UTIL.UTI.PMP-102,BFW_B_Turb_Status,1.0,True,United > Specific Energy Consumers > Utility Unit [UTI] > Electric Energy > UTI PumpB
UTI PumpC,Specific Energy Consumers,Utility Unit [UTI],Electric Energy,UTI Pump,C,UTIL.UTI.PMP-103,BFW_C_Turb_Status,1.0,True,United > Specific Energy Consumers > Utility Unit [UTI] > Electric Energy > UTI PumpC
UTI PumpD,Specific Energy Consumers,Utility Unit [UTI],Electric Energy,UTI Pump,D,UTIL.UTI.PMP-104,BFW_D_Motor_Status,0.0,False,United > Specific Energy Consumers > Utility Unit [UTI] > Electric Energy > UTI PumpD
UTI CompressorA,Specific Energy Consumers,Utility Unit [UTI],Electric Energy,UTI Compressor,A,UTIL.UTI.COMP-101,Air_Compressor_Motor_B_Status,1.0,True,United > Specific Energy Consumers > Utility Unit [UTI] > Electric Energy > UTI CompressorA
UTI CompressorB,Specific Energy Consumers,Utility Unit [UTI],Electric Energy,UTI Compressor,B,UTIL.UTI.COMP-102,Air_Compressor_Motor_C_Status,0.0,False,United > Specific Energy Consumers > Utility Unit [UTI] > Electric Energy > UTI CompressorB
UTI TurbineA,Specific Energy Consumers,Utility Unit [UTI],Steam Energy,UTI Turbine,A,UTIL.UTI.TBN-101,CW_Turbine_A_Status,0.0,False,United > Specific Energy Consumers > Utility Unit [UTI] > Steam Energy > UTI TurbineA
UTI TurbineB,Specific Energy Consumers,Utility Unit [UTI],Steam Energy,UTI Turbine,B,UTIL.UTI.TBN-102,CW_Turbine_B_Status,0.0,False,United > Specific Energy Consumers > Utility Unit [UTI] > Steam Energy > UTI TurbineB
UTI TurbineC,Specific Energy Consumers,Utility Unit [UTI],Steam Energy,UTI Turbine,C,UTIL.UTI.TBN-103,BFW_B_Turb_Status,1.0,True,United > Specific Energy Consumers > Utility Unit [UTI] > Steam Energy > UTI TurbineC
UTI TurbineD,Specific Energy Consumers,Utility Unit [UTI],Steam Energy,UTI Turbine,D,UTIL.UTI.TBN-104,Air_Compressor_Turbine_A_Status,0.0,False,United > Specific Energy Consumers > Utility Unit [UTI] > Steam Energy > UTI TurbineD
UTI TurbineE,Specific Energy Consumers,Utility Unit [UTI],Steam Energy,UTI Turbine,E,UTIL.UTI.TBN-105,BFW_C_Turb_Status,1.0,True,United > Specific Energy Consumers > Utility Unit [UTI] > Steam Energy > UTI TurbineE
UTI TurbineF,Specific Energy Consumers,Utility Unit [UTI],Steam Energy,UTI Turbine,F,UTIL.UTI.TBN-106,Air_Compressor_Turbine_D_Status,0.0,False,United > Specific Energy Consumers > Utility Unit [UTI] > Steam Energy > UTI TurbineF
UTI TurbineG,Specific Energy Consumers,Utility Unit [UTI],Steam Energy,UTI Turbine,G,UTIL.UTI.TBN-107,CW_Turbine_G_Status,0.0,False,United > Specific Energy Consumers > Utility Unit [UTI] > Steam Energy > UTI TurbineG
UTI TurbineH,Specific Energy Consumers,Utility Unit [UTI],Steam Energy,UTI Turbine,H,UTIL.UTI.TBN-108,BFW_E_Turb_Status,1.0,True,United > Specific Energy Consumers > Utility Unit [UTI] > Steam Energy > UTI TurbineH
UTI TurbineI,Specific Energy Consumers,Utility Unit [UTI],Steam Energy,UTI Turbine,I,UTIL.UTI.TBN-109,DMW_Turbine_A_Status,1.0,True,United > Specific Energy Consumers > Utility Unit [UTI] > Steam Energy > UTI TurbineI
UTI TurbineJ,Specific Energy Consumers,Utility Unit [UTI],Steam Energy,UTI Turbine,J,UTIL.UTI.TBN-110,DMW_Turbine_C_Status,0.0,False,United > Specific Energy Consumers > Utility Unit [UTI] > Steam Energy > UTI TurbineJ
UTI Live Steam InjectionA,Specific Energy Consumers,Utility Unit [UTI],Steam Energy,UTI Live Steam Injection,A,UTIL.UTI.LSI-101,UO_Plant_Status,1.0,True,United > Specific Energy Consumers > Utility Unit [UTI] > Steam Energy > UTI Live Steam InjectionA
UTI Live Steam InjectionB,Specific Energy Consumers,Utility Unit [UTI],Steam Energy,UTI Live Steam Injection,B,UTIL.UTI.LSI-102,UO_Plant_Status,1.0,True,United > Specific Energy Consumers > Utility Unit [UTI] > Steam Energy > UTI Live Steam InjectionB
CO2 CompressorA,Specific Energy Consumers,CO2 [CO2],Electric Energy,CO2 Compressor,A,CO2.CO2.COMP-101,PK_5020_status,1.0,True,United > Specific Energy Consumers > CO2 [CO2] > Electric Energy > CO2 CompressorA
CO2 CompressorB,Specific Energy Consumers,CO2 [CO2],Electric Energy,CO2 Compressor,B,CO2.CO2.COMP-102,PK_5070_status,1.0,True,United > Specific Energy Consumers > CO2 [CO2] > Electric Energy > CO2 CompressorB
UTI VHP Steam Header (100-110 KG/CM2A)A,Steam Network,Utility Unit [UTI],Steam Distribution (Headers/PRDS),UTI VHP Steam Header (100-110 KG/CM2A),A,UTIL.UTI.VHP-101,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Distribution (Headers/PRDS) > UTI VHP Steam Header (100-110 KG/CM2A)A
UTI HP-2 Steam Header (40-45 KG/CM2A)A,Steam Network,Utility Unit [UTI],Steam Distribution (Headers/PRDS),UTI HP-2 Steam Header (40-45 KG/CM2A),A,UTIL.UTI.HP2-101,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Distribution (Headers/PRDS) > UTI HP-2 Steam Header (40-45 KG/CM2A)A
UTI HP-1 Steam Header (30-35 KG/CM2A)A,Steam Network,Utility Unit [UTI],Steam Distribution (Headers/PRDS),UTI HP-1 Steam Header (30-35 KG/CM2A),A,UTIL.UTI.HP1-101,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Distribution (Headers/PRDS) > UTI HP-1 Steam Header (30-35 KG/CM2A)A
