short_name,network,plant,group,element_type,instance,pi_tag_base,status_tag,status_value,is_on,element_path
UTI HP-2 Steam ExportB,Steam Network,Utility Unit [UTI],Steam Consumers,UTI HP-2 Steam Export,B,UTIL.UTI.STE-102,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Consumers > UTI HP-2 Steam ExportB
UTI HP-2 Steam ExportC,Steam Network,Utility Unit [UTI],Steam Consumers,UTI HP-2 Steam Export,C,UTIL.UTI.STE-103,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Consumers > UTI HP-2 Steam ExportC
UTI HP-2 Steam ExportD,Steam Network,Utility Unit [UTI],Steam Consumers,UTI HP-2 Steam Export,D,UTIL.UTI.STE-104,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Consumers > UTI HP-2 Steam ExportD
UTI MP-2 Steam ExportE,Steam Network,Utility Unit [UTI],Steam Consumers,UTI MP-2 Steam Export,E,UTIL.UTI.STE-105,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Consumers > UTI MP-2 Steam ExportE
UTI MP-2 Steam ExportF,Steam Network,Utility Unit [UTI],Steam Consumers,UTI MP-2 Steam Export,F,UTIL.UTI.STE-106,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Consumers > UTI MP-2 Steam ExportF
UTI MP-2 Steam ExportG,Steam Network,Utility Unit [UTI],Steam Consumers,UTI MP-2 Steam Export,G,UTIL.UTI.STE-107,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Consumers > UTI MP-2 Steam ExportG
UTI VHP Steam VentA,Steam Network,Utility Unit [UTI],Steam Consumers,UTI VHP Steam Vent,A,UTIL.UTI.STE-101,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Consumers > UTI VHP Steam VentA
UTI HP-2 Steam VentB,Steam Network,Utility Unit [UTI],Steam Consumers,UTI HP-2 Steam Vent,B,UTIL.UTI.STE-102,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Consumers > UTI HP-2 Steam VentB
UTI LP-1 Steam VentC,Steam Network,Utility Unit [UTI],Steam Consumers,UTI LP-1 Steam Vent,C,UTIL.UTI.STE-103,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Consumers > UTI LP-1 Steam VentC
UTI LP-1 DeaeratorA,Steam Network,Utility Unit [UTI],Steam Consumers,UTI LP-1 Deaerator,A,UTIL.UTI.DEA-101,V_7101A_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Consumers > UTI LP-1 DeaeratorA
UTI LP-1 DeaeratorB,Steam Network,Utility Unit [UTI],Steam Consumers,UTI LP-1 Deaerator,B,UTIL.UTI.DEA-102,V_7101B_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Consumers > UTI LP-1 DeaeratorB
